2026/05/15 22:43:51.644, 0, NVIDIA A100-SXM4-80GB, 0, 81920, 0
2026/05/15 22:43:51.645, 1, NVIDIA A100-SXM4-80GB, 0, 81920, 0
2026/05/15 22:43:51.646, 2, NVIDIA A100-SXM4-80GB, 0, 81920, 0
2026/05/15 22:43:51.647, 3, NVIDIA A100-SXM4-80GB, 0, 81920, 0
2026/05/15 22:44:21.649, 0, NVIDIA A100-SXM4-80GB, 51011, 81920, 100
2026/05/15 22:44:21.649, 1, NVIDIA A100-SXM4-80GB, 51057, 81920, 100
2026/05/15 22:44:21.649, 2, NVIDIA A100-SXM4-80GB, 51083, 81920, 63
2026/05/15 22:44:21.649, 3, NVIDIA A100-SXM4-80GB, 51011, 81920, 100
2026/05/15 22:44:51.650, 0, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:44:51.650, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:44:51.650, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:44:51.650, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:45:21.650, 0, NVIDIA A100-SXM4-80GB, 51013, 81920, 100
2026/05/15 22:45:21.650, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 100
2026/05/15 22:45:21.650, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 100
2026/05/15 22:45:21.650, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 100
2026/05/15 22:45:51.652, 0, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:45:51.652, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:45:51.652, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:45:51.652, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:46:21.656, 0, NVIDIA A100-SXM4-80GB, 51019, 81920, 23
2026/05/15 22:46:21.656, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:46:21.656, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:46:21.656, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:46:51.660, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 0
2026/05/15 22:46:51.661, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:46:51.661, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:46:51.661, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:47:21.665, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 100
2026/05/15 22:47:21.665, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 100
2026/05/15 22:47:21.665, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:47:21.665, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 88
2026/05/15 22:47:51.669, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 99
2026/05/15 22:47:51.669, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 99
2026/05/15 22:47:51.669, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 99
2026/05/15 22:47:51.669, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 99
2026/05/15 22:48:21.674, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 0
2026/05/15 22:48:21.678, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:48:21.678, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:48:21.678, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:48:51.680, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 100
2026/05/15 22:48:51.680, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 99
2026/05/15 22:48:51.680, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 99
2026/05/15 22:48:51.680, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 99
2026/05/15 22:49:21.684, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 0
2026/05/15 22:49:21.684, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:49:21.684, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:49:21.684, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:49:51.687, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 22
2026/05/15 22:49:51.687, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:49:51.687, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:49:51.687, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:50:21.692, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 0
2026/05/15 22:50:21.695, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:50:21.695, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:50:21.695, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:50:51.696, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 100
2026/05/15 22:50:51.696, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 100
2026/05/15 22:50:51.696, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 99
2026/05/15 22:50:51.696, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 100
2026/05/15 22:51:21.700, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 68
2026/05/15 22:51:21.700, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:51:21.701, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:51:21.701, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:51:51.706, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 0
2026/05/15 22:51:51.706, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:51:51.706, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:51:51.706, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:52:21.711, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 100
2026/05/15 22:52:21.711, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 100
2026/05/15 22:52:21.711, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 100
2026/05/15 22:52:21.711, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 100
2026/05/15 22:52:51.717, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 0
2026/05/15 22:52:51.717, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:52:51.717, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:52:51.717, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:53:21.721, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 34
2026/05/15 22:53:21.721, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:53:21.721, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:53:21.721, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:53:51.725, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 0
2026/05/15 22:53:51.725, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 0
2026/05/15 22:53:51.725, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 0
2026/05/15 22:53:51.725, 3, NVIDIA A100-SXM4-80GB, 51013, 81920, 0
2026/05/15 22:54:21.730, 0, NVIDIA A100-SXM4-80GB, 51037, 81920, 100
2026/05/15 22:54:21.730, 1, NVIDIA A100-SXM4-80GB, 51059, 81920, 100
2026/05/15 22:54:21.730, 2, NVIDIA A100-SXM4-80GB, 51085, 81920, 100
