stage2 fold=3 gpu=3 started 2026-05-09T01:05:16+02:00
fold = 3
device = cuda
stage1_checkpoint = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/experiments/p0_a40_20260508/stage1/fold3/best_stage1.pt
defect_train_count = 159
defect_val_count = 52
normal_train_count = 45
normal_val_count = 14
save_dir = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/experiments/p0_a40_e50_bs48_20260509/stage2/fold3
epoch 18/50 | random_normal=45 | hard_normal=64 | hard_pool=5 | train_loss=0.648826 | defect_dice=0.683650 | defect_iou=0.561711 | defect_recall=0.961538 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.84 | min_area=8 | stage2_score=0.683650 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 19/50 | random_normal=45 | hard_normal=64 | hard_pool=1 | train_loss=0.647598 | defect_dice=0.696115 | defect_iou=0.579944 | defect_recall=0.942308 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.90 | min_area=48 | stage2_score=0.696115 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 20/50 | random_normal=45 | hard_normal=64 | hard_pool=1 | train_loss=0.647111 | defect_dice=0.701708 | defect_iou=0.581238 | defect_recall=0.961538 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.90 | min_area=48 | stage2_score=0.701708 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 21/50 | random_normal=45 | hard_normal=64 | hard_pool=1 | train_loss=0.646468 | defect_dice=0.705160 | defect_iou=0.584758 | defect_recall=0.961538 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.90 | min_area=48 | stage2_score=0.705160 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 22/50 | random_normal=45 | hard_normal=64 | hard_pool=1 | train_loss=0.645681 | defect_dice=0.701264 | defect_iou=0.572131 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.80 | min_area=24 | stage2_score=0.701264 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 23/50 | random_normal=45 | hard_normal=64 | hard_pool=2 | train_loss=0.645055 | defect_dice=0.705685 | defect_iou=0.576122 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.82 | min_area=0 | stage2_score=0.705685 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 24/50 | random_normal=45 | hard_normal=64 | hard_pool=2 | train_loss=0.644806 | defect_dice=0.707833 | defect_iou=0.579379 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.84 | min_area=0 | stage2_score=0.707833 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 25/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.644454 | defect_dice=0.714329 | defect_iou=0.584998 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.84 | min_area=8 | stage2_score=0.714329 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 26/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.643949 | defect_dice=0.716021 | defect_iou=0.589145 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=8 | stage2_score=0.716021 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 27/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.643805 | defect_dice=0.709732 | defect_iou=0.582159 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.84 | min_area=0 | stage2_score=0.709732 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 28/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.643478 | defect_dice=0.711102 | defect_iou=0.583226 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.82 | min_area=8 | stage2_score=0.711102 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 29/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.643369 | defect_dice=0.710843 | defect_iou=0.583907 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=0 | stage2_score=0.710843 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 30/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.643019 | defect_dice=0.709598 | defect_iou=0.582176 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=16 | stage2_score=0.709598 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 31/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.642619 | defect_dice=0.708873 | defect_iou=0.582643 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=0 | stage2_score=0.708873 | lr_encoder=5.000000e-06 | lr_decoder=2.500000e-05
epoch 32/50 | random_normal=45 | hard_normal=64 | hard_pool=3 | train_loss=0.642233 | defect_dice=0.707717 | defect_iou=0.581995 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.88 | min_area=0 | stage2_score=0.707717 | lr_encoder=2.500000e-06 | lr_decoder=1.250000e-05
epoch 33/50 | random_normal=45 | hard_normal=64 | hard_pool=2 | train_loss=0.642166 | defect_dice=0.710570 | defect_iou=0.582730 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=32 | stage2_score=0.710570 | lr_encoder=2.500000e-06 | lr_decoder=1.250000e-05
epoch 34/50 | random_normal=45 | hard_normal=64 | hard_pool=2 | train_loss=0.642177 | defect_dice=0.711346 | defect_iou=0.584235 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.88 | min_area=0 | stage2_score=0.711346 | lr_encoder=2.500000e-06 | lr_decoder=1.250000e-05
