epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_fp_pixel_mean,normal_largest_fp_area_mean,threshold,min_area,stage2_score,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
1,0.6457815871519201,0.6547916040630468,0.5257452858046306,0.9615384615384616,0.07142857142857142,8.714285714285714,8.714285714285714,0.9,24,0.6547916040630468,45,0,0,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.6405875893200145,0.6165344695113494,0.47264375495945443,0.9807692307692307,0.35714285714285715,144.57142857142858,110.0,0.9,48,0.10224875522563515,45,0,0,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.6386666122604819,0.6945438407720589,0.5691310141595802,0.9807692307692307,0.21428571428571427,71.78571428571429,71.71428571428571,0.88,0,0.46597241220063035,45,0,17,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
4,0.6367581381517298,0.6781351505604529,0.5545375394967348,0.9615384615384616,0.14285714285714285,58.214285714285715,58.214285714285715,0.9,16,0.5924208648461673,45,0,17,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
5,0.6351254933020648,0.7002670450531426,0.5701571084176167,1.0,0.14285714285714285,62.57142857142857,62.57142857142857,0.88,48,0.6145527593388569,45,0,7,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
6,0.6325569924186257,0.6831325971924801,0.557387759943703,0.9807692307692307,0.14285714285714285,67.5,67.5,0.84,24,0.5974183114781944,45,0,7,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
7,0.6317183235112358,0.6653536720979171,0.5463255078895848,0.9230769230769231,0.07142857142857142,20.642857142857142,20.642857142857142,0.9,48,0.6653536720979171,45,0,5,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
8,0.6317523121833801,0.683557572535058,0.5622410167467244,0.9615384615384616,0.14285714285714285,47.714285714285715,47.714285714285715,0.84,48,0.5978432868207724,45,0,5,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
9,0.6300030525992898,0.6938844548212262,0.5734853962806278,0.9615384615384616,0.07142857142857142,5.214285714285714,5.214285714285714,0.86,32,0.6938844548212262,45,0,4,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
10,0.6298487326678108,0.6821080188311145,0.5651324565747469,0.9423076923076923,0.07142857142857142,11.357142857142858,9.642857142857142,0.84,24,0.6821080188311145,45,0,4,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
11,0.6284497169887319,0.7119029301138072,0.5845375127420429,1.0,0.14285714285714285,29.571428571428573,29.571428571428573,0.88,24,0.6261886443995215,45,0,2,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
12,0.6294812454896814,0.7161461655902677,0.5874380599191075,1.0,0.14285714285714285,40.857142857142854,40.857142857142854,0.86,8,0.630431879875982,45,0,2,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
13,0.6269866403411416,0.7091809269847698,0.5790652331033509,1.0,0.07142857142857142,10.928571428571429,10.928571428571429,0.9,32,0.7091809269847698,45,0,3,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
14,0.6271275316967684,0.7286400664445218,0.602513282722832,1.0,0.07142857142857142,14.857142857142858,14.857142857142858,0.72,32,0.7286400664445218,45,0,3,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
15,0.6251622999415678,0.7050459211330563,0.5839373950201373,0.9807692307692307,0.07142857142857142,5.714285714285714,5.714285714285714,0.86,8,0.7050459211330563,45,0,5,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
16,0.6252240433412439,0.7144420327938245,0.5866138293414348,1.0,0.07142857142857142,11.714285714285714,11.714285714285714,0.86,32,0.7144420327938245,45,0,5,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
17,0.6233651918523452,0.7200512278775428,0.593636908640033,1.0,0.07142857142857142,8.214285714285714,8.214285714285714,0.82,16,0.7200512278775428,45,0,5,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
18,0.622280503020567,0.7239709690633209,0.5974097992052774,1.0,0.07142857142857142,7.428571428571429,7.428571428571429,0.82,8,0.7239709690633209,45,0,5,"{""camera"": 118, ""phone"": 86}",1e-05,5e-05
19,0.6212735070901758,0.7239654891791952,0.5977498922492596,1.0,0.07142857142857142,5.142857142857143,5.142857142857143,0.84,32,0.7239654891791952,45,0,5,"{""camera"": 118, ""phone"": 86}",5e-06,2.5e-05
20,0.6208850531017079,0.7238372482463638,0.5962987009474584,1.0,0.07142857142857142,3.357142857142857,3.357142857142857,0.82,32,0.7238372482463638,45,0,5,"{""camera"": 118, ""phone"": 86}",5e-06,2.5e-05
21,0.6207499433966244,0.7214767680312266,0.5927895689054348,1.0,0.0,0.0,0.0,0.82,48,0.7214767680312266,45,0,3,"{""camera"": 118, ""phone"": 86}",5e-06,2.5e-05
22,0.6202579175724703,0.7271082165374648,0.6000146483549813,1.0,0.07142857142857142,2.2857142857142856,2.2857142857142856,0.82,16,0.7271082165374648,45,0,3,"{""camera"": 118, ""phone"": 86}",5e-06,2.5e-05
23,0.6197951015304116,0.7266768593370939,0.5994049630183054,1.0,0.07142857142857142,1.2142857142857142,1.2142857142857142,0.82,8,0.7266768593370939,45,0,3,"{""camera"": 118, ""phone"": 86}",2.5e-06,1.25e-05
24,0.6199402739019955,0.7247682799515242,0.5978684436116931,1.0,0.07142857142857142,1.5,1.5,0.86,0,0.7247682799515242,45,0,3,"{""camera"": 118, ""phone"": 86}",2.5e-06,1.25e-05
25,0.6194588016061222,0.7209573113880599,0.5918661521038399,1.0,0.07142857142857142,8.285714285714286,8.285714285714286,0.84,0,0.7209573113880599,45,0,4,"{""camera"": 118, ""phone"": 86}",2.5e-06,1.25e-05
