fold,image_name,sample_type,is_defect_image,pred_has_positive,dice,iou,threshold,min_area,fp_pixel_count,largest_fp_component_area,pixel_precision,pixel_recall,pixel_f1,tp_pixel_count,fp_pixel_count_for_metric,fn_pixel_count,pred_pixel_count,target_pixel_count,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px
0,camera052.png,defect,True,True,0.6878661090478108,0.5242346944843945,0.78,16,0,0,0.5524193548387096,0.9113082039911308,0.6878661087866109,411,333,40,744,451,1.0,1.0,1.0,0.8380918602589111
0,camera059.png,defect,True,True,0.722388059839608,0.565420561086121,0.78,16,0,0,0.7586206896551724,0.6894586894586895,0.7223880597014926,726,231,327,957,1053,1.0,1.0,1.0,0.764269059701785
0,camera064.png,defect,True,True,0.7115553217857659,0.5522591181883153,0.78,16,0,0,0.5876049811757892,0.9017777777777778,0.711555321760477,4058,2848,442,6906,4500,1.0,0.6666666666666666,0.8,0.7202134773621305
0,camera065.png,defect,True,True,0.8989698699062009,0.8164807168665342,0.78,16,0,0,0.8308600035758984,0.979243493836266,0.8989698699037578,18588,3784,394,22372,18982,1.0,0.6666666666666666,0.8,0.633185130365729
0,camera076.png,defect,True,True,0.4785949511760758,0.31457431556338483,0.78,16,0,0,0.33798449612403103,0.8195488721804511,0.47859495060373214,218,427,48,645,266,1.0,0.5,0.6666666666666666,0.6496308915388984
0,camera095.png,defect,True,True,0.6172839511422716,0.4464285725269274,0.78,16,0,0,0.7867132867132867,0.5079006772009029,0.6172839506172839,225,61,218,286,443,1.0,1.0,1.0,0.7722772277227723
0,camera109.png,defect,True,True,0.7445519020316503,0.5930566968789941,0.78,16,0,0,0.6106175972927242,0.9537495870498843,0.7445519019987105,2887,1841,140,4728,3027,1.0,1.0,1.0,0.718937721075334
0,camera119.png,defect,True,True,0.8685552079750737,0.7676514259501485,0.78,16,0,0,0.7904365246731337,0.9638081769092312,0.8685552079712664,14993,3975,563,18968,15556,1.0,1.0,1.0,0.5184977162083079
0,camera126.png,defect,True,True,0.685382381717926,0.5213549344309942,0.78,16,0,0,0.5496894409937888,0.910025706940874,0.6853823814133592,354,290,35,644,389,1.0,0.5,0.6666666666666666,0.8609284718071328
0,camera135.png,defect,True,True,0.47144754324843163,0.3084274545377004,0.78,16,0,0,0.32090395480225986,0.8880550343964978,0.4714475431606906,1420,3005,179,4425,1599,1.0,0.4,0.5714285714285715,0.42701030120245975
0,camera139.png,defect,True,True,0.8820552744717574,0.7889972146316175,0.78,16,0,0,0.797887323943662,0.9860748476936466,0.8820552744258466,1133,287,16,1420,1149,1.0,1.0,1.0,0.9742268041237113
0,camera146.png,defect,True,True,0.8679098427154885,0.7666437492972016,0.78,16,0,0,0.842526130210301,0.8948705945295259,0.8679098427112047,13381,2501,1572,15882,14953,1.0,1.0,1.0,0.632147998916664
0,camera161.png,defect,True,True,0.8405491025129097,0.7249544629098774,0.78,16,0,0,0.7467166979362101,0.961352657004831,0.8405491024287223,796,270,32,1066,828,1.0,0.5,0.6666666666666666,0.793080442241708
0,camera164.png,defect,True,True,0.7586206897530952,0.6111111113652868,0.78,16,0,0,0.665954415954416,0.88124410933082,0.7586206896551724,935,469,126,1404,1061,1.0,1.0,1.0,0.8588922405493872
0,camera166.png,defect,True,True,0.7398633257995755,0.5871294289272851,0.78,16,0,0,0.5955262192885955,0.9765484064942874,0.7398633257403189,1624,1103,39,2727,1663,1.0,0.4,0.5714285714285715,0.7008267237399807
0,camera185.png,defect,True,True,0.8362173386469883,0.7185339380181003,0.78,16,0,0,0.7551961243944366,0.9367125411901531,0.8362173386399031,9665,3133,653,12798,10318,1.0,0.75,0.8571428571428571,0.6768081603646966
0,camera188.png,defect,True,True,0.939523518650115,0.8859447005265295,0.78,16,0,0,0.9372333942717855,0.941824862216779,0.9395235186316433,1538,103,95,1641,1633,1.0,1.0,1.0,0.9705215419501134
0,camera191.png,defect,True,True,0.743425728682711,0.5916289597379762,0.78,16,0,0,0.6432964329643296,0.8804713804713805,0.7434257285003554,523,290,71,813,594,1.0,0.5,0.6666666666666666,0.7205311336887638
0,camera193.png,defect,True,True,0.7965377217571556,0.6618717812712002,0.78,16,0,0,0.6922362555720654,0.9378459989934574,0.7965377217354136,3727,1657,247,5384,3974,1.0,1.0,1.0,0.6597180362023257
0,camera214.png,defect,True,True,0.835664335676827,0.717717717754574,0.78,16,0,0,0.7429382348966076,0.9548375890220601,0.8356643356643356,5497,1902,260,7399,5757,1.0,1.0,1.0,0.7814434186588799
0,camera233.png,defect,True,True,0.7332549942290424,0.5788497219673161,0.78,16,0,0,0.8658649398704903,0.6358695652173914,0.7332549941245593,936,145,536,1081,1472,1.0,1.0,1.0,0.8566929133858268
0,camera258.png,defect,True,True,0.9009602195059094,0.8197703445732549,0.78,16,0,0,0.8720127456186936,0.9318955732122588,0.900960219478738,1642,241,120,1883,1762,1.0,1.0,1.0,0.9401614680317781
0,camera267.png,defect,True,True,0.8464730290711249,0.7338129497168884,0.78,16,0,0,0.8188824662813102,0.8759876331157678,0.8464730290456431,2550,564,361,3114,2911,1.0,1.0,1.0,0.8692969799492513
0,camera274.png,defect,True,True,0.6547811999112136,0.48674698918856146,0.78,16,0,0,0.7651515151515151,0.5722379603399433,0.6547811993517018,202,62,151,264,353,1.0,1.0,1.0,0.8412698412698413
0,camera275.png,defect,True,True,0.9191712390533805,0.8504318836413954,0.78,16,0,0,0.9358012339503085,0.9031219826198905,0.9191712390467611,5612,385,602,5997,6214,1.0,1.0,1.0,0.8812244018107349
0,camera280.png,defect,True,True,0.7689795919310288,0.6246684352621562,0.78,16,0,0,0.698295033358043,0.8555858310626703,0.7689795918367347,942,407,159,1349,1101,1.0,1.0,1.0,0.860072717347864
0,camera281.png,defect,True,True,0.9259242581201457,0.862066074135329,0.78,16,0,0,0.8777426790745325,0.9797026872498571,0.92592425811681,10281,1432,213,11713,10494,1.0,0.6666666666666666,0.8,0.8165190376527413
0,camera283.png,defect,True,True,0.8905109489130223,0.8026315789730808,0.78,16,0,0,0.8860923342442111,0.8949738524113887,0.8905109489051095,6161,792,723,6953,6884,1.0,1.0,1.0,0.8386409999488585
0,camera285.png,defect,True,True,0.901934015949503,0.82138416915815,0.78,16,0,0,0.8502788502788503,0.9602713178294574,0.90193401592719,1982,349,82,2331,2064,1.0,1.0,1.0,0.9555830826402407
0,camera288.png,defect,True,True,0.8140321217637294,0.6863863151509672,0.78,16,0,0,0.7832452216348109,0.8473383194016718,0.8140321217244294,1926,533,347,2459,2273,1.0,0.5,0.6666666666666666,0.7785213921932742
0,camera294.png,defect,True,True,0.23673880229121902,0.13426190214245212,0.78,16,0,0,0.5027789653698161,0.15481832543443919,0.23673880221439356,1176,1163,6420,2339,7596,1.0,1.0,1.0,0.33998092934555096
0,camera296.png,defect,True,True,0.8613640657524517,0.7564876883416415,0.78,16,0,0,0.8414913252122554,0.8821981424148607,0.8613640657472132,11398,2147,1522,13545,12920,1.0,1.0,1.0,0.6282169859419796
0,phone203.png,defect,True,True,0.8172757477106581,0.6910112365336868,0.78,16,0,0,0.7192982456140351,0.9461538461538461,0.8172757475083057,369,144,21,513,390,1.0,1.0,1.0,1.0
0,phone231.png,defect,True,True,0.8591065293306644,0.7530120485647409,0.78,16,0,0,0.7587253414264037,0.9900990099009901,0.8591065292096219,500,159,5,659,505,1.0,1.0,1.0,1.0
0,phone261.png,defect,True,True,0.3428571491156462,0.20689656084026944,0.78,16,0,0,1.0,0.20689655172413793,0.34285714285714286,18,0,69,18,87,1.0,1.0,1.0,0.761904761904762
0,phone305.png,defect,True,True,0.7966573821820129,0.6620370386016804,0.78,16,0,0,0.7333333333333333,0.8719512195121951,0.7966573816155988,143,52,21,195,164,1.0,1.0,1.0,1.0
0,phone357.png,defect,True,True,0.7906976750270417,0.653846155510355,0.78,16,0,0,0.7157894736842105,0.8831168831168831,0.7906976744186046,136,54,18,190,154,1.0,1.0,1.0,1.0
0,phone367.png,defect,True,True,0.5643564378002156,0.3931034524613555,0.78,16,0,0,0.9661016949152542,0.3986013986013986,0.5643564356435643,57,2,86,59,143,1.0,1.0,1.0,0.8652482269503545
0,phone444.png,defect,True,True,0.8314952552368569,0.7115891133838503,0.78,16,0,0,0.7401826484018265,0.9485078993563487,0.8314952551936394,1621,569,88,2190,1709,1.0,1.0,1.0,0.6292513819919423
0,phone480.png,defect,True,True,0.8305932810360306,0.7102689490094511,0.78,16,0,0,0.7915531335149864,0.8736842105263158,0.8305932809149392,581,153,84,734,665,1.0,1.0,1.0,0.871833084947839
0,phone562.png,defect,True,False,8.849557443809227e-09,8.849557443809227e-09,0.78,16,0,0,1.0,0.0,0.0,0,0,113,0,113,0.0,1.0,0.0,0.0
0,phone584.png,defect,True,True,0.7663628832782259,0.621222297097903,0.78,16,0,0,0.9757383966244726,0.630968622100955,0.7663628831814416,925,23,541,948,1466,1.0,1.0,1.0,0.6571829292726908
0,phone618.png,defect,True,True,0.8238387381035593,0.7004470943361444,0.78,16,0,0,0.7197549770290965,0.9631147540983607,0.8238387379491674,470,183,18,653,488,1.0,0.5,0.6666666666666666,0.7984496124031008
0,phone626.png,defect,True,True,0.8690476192035147,0.7684210531191136,0.78,16,0,0,0.7733050847457628,0.9918478260869565,0.8690476190476191,365,107,3,472,368,1.0,1.0,1.0,0.9894736842105264
0,phone684.png,defect,True,True,0.5285714319387754,0.35922330719200674,0.78,16,0,0,1.0,0.3592233009708738,0.5285714285714286,37,0,66,37,103,1.0,1.0,1.0,0.8367346938775511
0,phone696.png,defect,True,True,0.7802056556682483,0.6396206536990299,0.78,16,0,0,0.8477653631284916,0.7226190476190476,0.7802056555269923,607,109,233,716,840,1.0,1.0,1.0,0.7647120309396884
0,phone704.png,defect,True,True,0.8620394174275583,0.7575301208470931,0.78,16,0,0,0.8809106830122592,0.8439597315436241,0.8620394173093402,503,68,93,571,596,1.0,1.0,1.0,0.8634686346863468
0,phone714.png,defect,True,True,0.8327645056902235,0.7134502940733901,0.78,16,0,0,1.0,0.7134502923976608,0.8327645051194539,122,0,49,122,171,1.0,1.0,1.0,0.9928057553956835
0,phone724.png,defect,True,True,0.8820160367903597,0.7889344266620196,0.78,16,0,0,0.7905544147843943,0.9974093264248705,0.8820160366552119,385,102,1,487,386,1.0,1.0,1.0,0.970442610652663
0,phone819.png,defect,True,True,0.49723757183846645,0.3308823578611591,0.78,16,0,0,0.9375,0.3383458646616541,0.4972375690607735,45,3,88,48,133,1.0,1.0,1.0,0.7394957983193278
0,phone861.png,defect,True,True,0.7000000001948052,0.5384615389226158,0.78,16,0,0,0.6857506361323156,0.7148541114058355,0.7,539,247,215,786,754,1.0,1.0,1.0,0.6094857008355891
0,phone919.png,defect,True,True,0.7869520899215575,0.6487394963886731,0.78,16,0,0,0.7813765182186235,0.7926078028747433,0.7869520897043832,386,108,101,494,487,1.0,1.0,1.0,0.8774703557312252
0,phone935.png,defect,True,True,0.8419405322050544,0.7270270273959094,0.78,16,0,0,0.82642089093702,0.8580542264752791,0.8419405320813772,538,113,89,651,627,1.0,1.0,1.0,0.9093313739897134
0,phone959.png,defect,True,True,0.8744512731567591,0.7769110767910904,0.78,16,0,0,0.7817896389324961,0.9920318725099602,0.874451273046532,498,139,4,637,502,1.0,1.0,1.0,0.9915912491983183
0,camera002.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,camera019.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,camera068.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,camera072.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,camera073.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,camera092.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,camera114.png,normal,False,True,0.0,0.0,0.78,16,28,28,0.0,1.0,0.0,0,28,0,28,0,0.0,0.0,0.0,0.0
0,camera118.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone044.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone082.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone090.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone146.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone199.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone211.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone259.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,phone291.png,normal,False,False,0.0,0.0,0.78,16,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,camera011.png,defect,True,True,0.8525925475744579,0.7430599703599216,0.78,16,0,0,0.8251559006941993,0.8819164989939637,0.8525925475654975,7013,1486,939,8499,7952,1.0,1.0,1.0,0.7266696431746433
1,camera029.png,defect,True,True,0.7804738795944979,0.6399812735767879,0.78,16,0,0,0.6859006522829905,0.9052980132450331,0.7804738795318299,1367,626,143,1993,1510,1.0,1.0,1.0,0.8229066410009623
1,camera080.png,defect,True,True,0.8876136664656302,0.7979365079525448,0.78,16,0,0,0.8908382066276803,0.8844123856439128,0.8876136664606692,10054,1232,1314,11286,11368,1.0,1.0,1.0,0.7651908589327021
1,camera084.png,defect,True,True,0.684014869953735,0.5197740114501651,0.78,16,0,0,0.7456100855470509,0.6318199160625715,0.6840148698884758,1656,565,965,2221,2621,1.0,0.6,0.7499999999999999,0.6740517303426661
1,camera087.png,defect,True,True,0.36818356712832967,0.22562805456462198,0.78,16,0,0,0.22757934792008994,0.9633900787113308,0.3681835671062297,5263,17863,200,23126,5463,1.0,0.16666666666666666,0.2857142857142857,0.276050190943808
1,camera093.png,defect,True,True,0.7885431401030611,0.6509048455044338,0.78,16,0,0,0.6942714819427148,0.9124386252045826,0.7885431400282885,1115,491,107,1606,1222,1.0,0.3333333333333333,0.5,0.7240405409767277
1,camera115.png,defect,True,True,0.646062658913606,0.4771732335977653,0.78,16,0,0,0.4872286079182631,0.9585427135678392,0.6460626587637596,763,803,33,1566,796,1.0,0.5,0.6666666666666666,0.5813123953280988
1,camera137.png,defect,True,True,0.8274694840584947,0.7057125361118264,0.78,16,0,0,0.8183201460742544,0.8368257261410789,0.8274694840496462,8067,1791,1573,9858,9640,1.0,0.6,0.7499999999999999,0.6269451905787289
1,camera141.png,defect,True,True,0.7642345003103187,0.6184300343901501,0.78,16,0,0,0.6278586278586279,0.9762931034482759,0.7642345002108815,906,537,22,1443,928,1.0,1.0,1.0,0.6075454948956946
1,camera144.png,defect,True,True,0.8677254948519779,0.766356118521265,0.78,16,0,0,0.8564576509124942,0.879293778525102,0.867725494844139,7321,1227,1005,8548,8326,1.0,1.0,1.0,0.7467654557931678
1,camera154.png,defect,True,True,0.910461902885493,0.8356402637991419,0.78,16,0,0,0.9332308190352865,0.8887775551102205,0.9104619028819582,11531,825,1443,12356,12974,1.0,1.0,1.0,0.7818082088074431
