epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
19,0.6151700096555276,0.8096722220143222,0.7002984248694518,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,32,0.8096722220143222,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
20,0.6144524794994014,0.8156208316082807,0.7061597190035648,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,8,0.8156208316082807,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
21,0.613279657198651,0.8161749545347285,0.7055861062964567,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,48,0.8161749545347285,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
22,0.6124918797228596,0.8048367634687169,0.6961699388642586,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,48,0.8048367634687169,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
23,0.6118224629081122,0.8019837782854868,0.6936567533449258,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,8,0.8019837782854868,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
24,0.6109241760603272,0.8149157486039197,0.7049769934568932,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,48,0.8149157486039197,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
25,0.6105613944554092,0.8052925799994377,0.6991982393111292,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,24,0.8052925799994377,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
26,0.6093956373705722,0.8126731503925606,0.7059680265148962,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,48,0.8126731503925606,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
27,0.6082718035962322,0.8136680184919403,0.7076846040611039,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,48,0.8136680184919403,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
28,0.6082119451891078,0.814722520365103,0.7094416379047024,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,48,0.814722520365103,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
29,0.6081163765180229,0.8133839748472088,0.7074585025684371,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,32,0.8133839748472088,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
30,0.6072008686490579,0.8117654372514985,0.703453771483663,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,32,0.8117654372514985,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
31,0.6072097143324295,0.8147218549293725,0.7077371584814582,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,48,0.8147218549293725,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
32,0.6062735921085471,0.8150612140644852,0.7094467614339306,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,32,0.8150612140644852,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
33,0.6061518699815958,0.8153238034288539,0.7105566720651852,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,48,0.8153238034288539,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
34,0.6056505134790251,0.8151712604465943,0.7113232877096215,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,48,0.8151712604465943,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
35,0.6057969107486234,0.8158177084079078,0.7116611023628283,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,32,0.8158177084079078,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
36,0.6053728301926414,0.8153197072898581,0.711389339717872,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,24,0.8153197072898581,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
37,0.6049930323468576,0.8152689723883157,0.711172365670967,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,24,0.8152689723883157,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2.5e-06,1.25e-05
