epoch,encoder_frozen,train_loss,val_loss,patch_dice_all,patch_dice_pos_only,positive_patch_recall,negative_patch_fpr,stage1_score,stage1_target_negative_fpr,stage1_negative_fpr_penalty,train_patch_count,replay_patch_count,train_family_counts_json,patch_dice_by_type_json,count_by_type_json,lr_encoder,lr_decoder
1,True,0.8281638185054088,0.8928548426179014,0.2650822795270381,0.3077000082385938,1.0,1.0,-0.09229999176140624,0.2,0.5,1231,0,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949}","{""hard_negative"": 9.59231382572453e-09, ""near_miss_negative"": 4.294544412794532e-09, ""normal_negative"": 6.832938497791652e-09, ""positive_boundary"": 0.3218143982866177, ""positive_center"": 0.31021403928515373, ""positive_context"": 0.2897057679794078, ""positive_shift"": 0.301349896172331}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
2,True,0.7408725105098938,0.7994713142638061,0.25452130085157165,0.28257938668036764,1.0,0.92,-0.07742061331963235,0.2,0.5,1231,0,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949}","{""hard_negative"": 0.1538461590191059, ""near_miss_negative"": 0.16666667058171994, ""normal_negative"": 9.423761041238431e-09, ""positive_boundary"": 0.28526488822311735, ""positive_center"": 0.2883491369658241, ""positive_context"": 0.28211315936194015, ""positive_shift"": 0.27729760202223275}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
3,True,0.7153445499685118,0.7371712363327639,0.3145391444411159,0.3233074917703901,1.0,0.74,0.05330749177039007,0.2,0.5,1231,0,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949}","{""hard_negative"": 0.5384615418096721, ""near_miss_negative"": 0.333333345047575, ""normal_negative"": 0.0800000407421952, ""positive_boundary"": 0.32242560173528123, ""positive_center"": 0.3190020774947662, ""positive_context"": 0.3342718914724313, ""positive_shift"": 0.3208184908781017}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
4,False,0.7135871891934878,0.6950683005959043,0.472517059356448,0.46488314482357807,0.9967845659163987,0.48,0.32488314482357805,0.2,0.5,1412,181,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 181}","{""hard_negative"": 0.9230769249084249, ""near_miss_negative"": 0.6666666793208663, ""normal_negative"": 0.24000000847540245, ""positive_boundary"": 0.45424292770632885, ""positive_center"": 0.4797358032928513, ""positive_context"": 0.4653074523115561, ""positive_shift"": 0.4680276929859444}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
5,False,0.7018317156405355,0.6991521417269085,0.5729736352922488,0.5589822573017982,0.9710610932475884,0.34,0.4889822573017982,0.2,0.5,1412,181,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 181}","{""hard_negative"": 1.0, ""near_miss_negative"": 0.500000014455507, ""normal_negative"": 0.5600000058470596, ""positive_boundary"": 0.5467472313491222, ""positive_center"": 0.5913056867960957, ""positive_context"": 0.5428786332260382, ""positive_shift"": 0.563418182751881}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
6,False,0.6960879844579075,0.6853243280976102,0.5177858026915627,0.523860688911295,1.0,0.52,0.36386068891129497,0.2,0.5,1412,181,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 181}","{""hard_negative"": 0.8461538741987091, ""near_miss_negative"": 0.5833333383397249, ""normal_negative"": 0.24000000382325826, ""positive_boundary"": 0.5134280165791727, ""positive_center"": 0.5350375277738945, ""positive_context"": 0.5208264232634954, ""positive_shift"": 0.5303295442404655}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
7,False,0.6897216401382653,0.6821255312401833,0.5949275208074812,0.6005428735794058,0.9807073954983923,0.44,0.48054287357940584,0.2,0.5,1401,170,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 170}","{""hard_negative"": 0.6923077051543463, ""near_miss_negative"": 0.583333339452842, ""normal_negative"": 0.48000004351459724, ""positive_boundary"": 0.5920071817002388, ""positive_center"": 0.6164487894840436, ""positive_context"": 0.5890026368748826, ""positive_shift"": 0.6070486673575984}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
8,False,0.6838443807241833,0.6761668730640675,0.5412250896614226,0.547852915017193,0.9871382636655949,0.5,0.397852915017193,0.2,0.5,1401,170,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 170}","{""hard_negative"": 0.8461538463437037, ""near_miss_negative"": 0.5833333761923719, ""normal_negative"": 0.28000001122599516, ""positive_boundary"": 0.5348463578378717, ""positive_center"": 0.549904927552598, ""positive_context"": 0.5503139639760901, ""positive_shift"": 0.5586226723391265}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
9,False,0.6791758210126372,0.6709473251966228,0.5856371768345457,0.589758906773591,0.9903536977491961,0.44,0.469758906773591,0.2,0.5,1401,170,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 170}","{""hard_negative"": 0.8461538503821556, ""near_miss_negative"": 0.6666666773440468, ""normal_negative"": 0.36000002590350744, ""positive_boundary"": 0.5808183837312846, ""positive_center"": 0.598067144201934, ""positive_context"": 0.5850987326125001, ""positive_shift"": 0.5969552850806206}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",5e-05,0.0002
10,False,0.6764139782500969,0.6609360225643147,0.6041347738947189,0.6080149620739701,1.0,0.42,0.4980149620739701,0.2,0.5,1393,162,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 162}","{""hard_negative"": 0.9230769235090752, ""near_miss_negative"": 0.7500000019096911, ""normal_negative"": 0.3200000056981834, ""positive_boundary"": 0.6004299102487265, ""positive_center"": 0.6162113797339502, ""positive_context"": 0.6006112832022621, ""positive_shift"": 0.6152824562133465}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",2.5e-05,0.0001
11,False,0.6733646115551556,0.6672070468892021,0.6659966319286443,0.6540989804434226,0.9678456591639871,0.26,0.6240989804434226,0.2,0.5,1393,162,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 162}","{""hard_negative"": 0.9230769247135844, ""near_miss_negative"": 0.666666675287399, ""normal_negative"": 0.6800000433444326, ""positive_boundary"": 0.6445167034183512, ""positive_center"": 0.6675323877028211, ""positive_context"": 0.6486175537920315, ""positive_shift"": 0.6598344345419845}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",2.5e-05,0.0001
12,False,0.6706701559893792,0.6626653227119235,0.6625262083614266,0.6500706130734666,0.9839228295819936,0.26,0.6200706130734666,0.2,0.5,1393,162,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 162}","{""hard_negative"": 0.9230769238782052, ""near_miss_negative"": 0.6666666732996047, ""normal_negative"": 0.6800000185046021, ""positive_boundary"": 0.6391412254561359, ""positive_center"": 0.6616795538684068, ""positive_context"": 0.643644003317482, ""positive_shift"": 0.6585204596020399}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",2.5e-05,0.0001
13,False,0.6694430264873781,0.6528857124148973,0.6329184494684064,0.638210800627957,0.9871382636655949,0.4,0.538210800627957,0.2,0.5,1380,149,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 149}","{""hard_negative"": 0.8461538495225992, ""near_miss_negative"": 0.6666667517615608, ""normal_negative"": 0.44000000791470184, ""positive_boundary"": 0.6271639369403196, ""positive_center"": 0.6502546062653307, ""positive_context"": 0.6275243043874461, ""positive_shift"": 0.6486948154405991}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",2.5e-05,0.0001
14,False,0.6668262466140416,0.6447333932913571,0.6275384747242511,0.6158887107516244,0.9839228295819936,0.3,0.5658887107516244,0.2,0.5,1380,149,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 149}","{""hard_negative"": 0.8461538520757017, ""near_miss_negative"": 0.7500000019679683, ""normal_negative"": 0.6000000092439879, ""positive_boundary"": 0.6053023211436848, ""positive_center"": 0.6297165140214256, ""positive_context"": 0.6037150464926918, ""positive_shift"": 0.6257809905009544}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",2.5e-05,0.0001
15,False,0.664159051231716,0.6431516696211373,0.5408301937628719,0.5441790987690239,0.9967845659163987,0.48,0.4041790987690239,0.2,0.5,1380,149,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 149}","{""hard_negative"": 0.7692307704544737, ""near_miss_negative"": 0.5833333357729918, ""normal_negative"": 0.3600000074418521, ""positive_boundary"": 0.5370322870663725, ""positive_center"": 0.5541244990685407, ""positive_context"": 0.5338840943747304, ""positive_shift"": 0.5515963413680975}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",2.5e-05,0.0001
16,False,0.6627645858367626,0.6427454783315474,0.6521865370776178,0.6477149188674081,0.9935691318327974,0.32,0.587714918867408,0.2,0.5,1398,167,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 167}","{""hard_negative"": 0.846153847835677, ""near_miss_negative"": 0.7500000019128472, ""normal_negative"": 0.5600000028975272, ""positive_boundary"": 0.6402110958724229, ""positive_center"": 0.6563944281313101, ""positive_context"": 0.6391208919190118, ""positive_shift"": 0.6552594575244854}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",1.25e-05,5e-05
17,False,0.660838320105202,0.6359433464066143,0.648317303406079,0.6400081873511136,0.9935691318327974,0.3,0.5900081873511136,0.2,0.5,1398,167,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 167}","{""hard_negative"": 0.8461538578482318, ""near_miss_negative"": 0.7500000021700771, ""normal_negative"": 0.6000000034132059, ""positive_boundary"": 0.6327816456204146, ""positive_center"": 0.6536906924899054, ""positive_context"": 0.6286482052218918, ""positive_shift"": 0.6462050301264392}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",1.25e-05,5e-05
18,False,0.6590282064309618,0.6350196137652833,0.6572996983312692,0.6440038261838649,0.9935691318327974,0.26,0.6140038261838648,0.2,0.5,1398,167,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 167}","{""hard_negative"": 1.0, ""near_miss_negative"": 0.7500000045986729, ""normal_negative"": 0.6000000439688841, ""positive_boundary"": 0.6366678916722359, ""positive_center"": 0.6590824234716199, ""positive_context"": 0.6294499752384428, ""positive_shift"": 0.6512223740367097}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",1.25e-05,5e-05
19,False,0.6586358795276267,0.6325117643520112,0.6605580691228171,0.6477860537100278,0.9967845659163987,0.26,0.6177860537100278,0.2,0.5,1384,153,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 153}","{""hard_negative"": 0.9230769239130434, ""near_miss_negative"": 0.7500000085041791, ""normal_negative"": 0.6400000054639438, ""positive_boundary"": 0.6414467089682641, ""positive_center"": 0.6582917386629418, ""positive_context"": 0.6329044763343155, ""positive_shift"": 0.6564143608646611}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",1.25e-05,5e-05
20,False,0.657279281257894,0.6300326501563646,0.6646595722692178,0.646116094568419,0.9935691318327974,0.22,0.636116094568419,0.2,0.5,1384,153,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 153}","{""hard_negative"": 1.0, ""near_miss_negative"": 0.7500000085005766, ""normal_negative"": 0.6800000030560946, ""positive_boundary"": 0.6396788556582235, ""positive_center"": 0.6546481102117472, ""positive_context"": 0.6308266867869639, ""positive_shift"": 0.6560140681596329}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",6.25e-06,2.5e-05
21,False,0.6565383541790736,0.6299532513208997,0.6681740000360882,0.6501955420361807,0.9935691318327974,0.22,0.6401955420361807,0.2,0.5,1384,153,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 153}","{""hard_negative"": 1.0, ""near_miss_negative"": 0.7500000279656157, ""normal_negative"": 0.6800000041675296, ""positive_boundary"": 0.6437660314743334, ""positive_center"": 0.6594520832974873, ""positive_context"": 0.6352521976943662, ""positive_shift"": 0.6595574593427175}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",6.25e-06,2.5e-05
22,False,0.6559203170347905,0.627053998018566,0.6441140755590147,0.6383446284831019,0.9967845659163987,0.32,0.578344628483102,0.2,0.5,1380,149,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 149}","{""hard_negative"": 0.9230769233987769, ""near_miss_negative"": 0.6666667108654459, ""normal_negative"": 0.560000051359606, ""positive_boundary"": 0.630814990690519, ""positive_center"": 0.6482124331535077, ""positive_context"": 0.62364174460567, ""positive_shift"": 0.6483866886164134}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",6.25e-06,2.5e-05
23,False,0.6549280045689017,0.6270099800709542,0.6621828753736407,0.6496720826505733,0.9967845659163987,0.26,0.6196720826505733,0.2,0.5,1380,149,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 149}","{""hard_negative"": 0.9230769232905983, ""near_miss_negative"": 0.8333333334978041, ""normal_negative"": 0.600000012032182, ""positive_boundary"": 0.641607425156866, ""positive_center"": 0.6623261594304851, ""positive_context"": 0.6375347175908093, ""positive_shift"": 0.6576000580993983}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",6.25e-06,2.5e-05
24,False,0.6541031096292579,0.6274391548125037,0.6648736797661815,0.6527954892710437,0.9967845659163987,0.26,0.6227954892710437,0.2,0.5,1380,149,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 149}","{""hard_negative"": 0.9230769233430929, ""near_miss_negative"": 0.7500000120717351, ""normal_negative"": 0.6400000433590356, ""positive_boundary"": 0.6446675091370598, ""positive_center"": 0.667602962138606, ""positive_context"": 0.6404372494438982, ""positive_shift"": 0.6598412324316226}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",6.25e-06,2.5e-05
25,False,0.6541937562002652,0.625526788492282,0.6607705142795018,0.6512480875179554,0.9967845659163987,0.28,0.6112480875179553,0.2,0.5,1380,149,"{""defect_negative"": 141, ""normal_negative"": 141, ""positive"": 949, ""replay"": 149}","{""hard_negative"": 0.9230769233496999, ""near_miss_negative"": 0.6666666916501863, ""normal_negative"": 0.6400000053387074, ""positive_boundary"": 0.6422433251545314, ""positive_center"": 0.6665113737770155, ""positive_context"": 0.6382768467126447, ""positive_shift"": 0.6592535895223801}","{""hard_negative"": 13, ""near_miss_negative"": 12, ""normal_negative"": 25, ""positive_boundary"": 104, ""positive_center"": 51, ""positive_context"": 52, ""positive_shift"": 104}",6.25e-06,2.5e-05
