threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.18,48,0.027005365070115746,0.014279816209351872,1.0,1.0,59,59,23807031.0,403509.0,409385.0,409600.0,403483.69491525425,409385.0,409600.0,409600.0,-1.7729946349298844
0.2,0,0.056543257010737515,0.03262425684282756,1.0,1.0,59,59,22108544.0,374721.0847457627,390539.0,409568.1,374515.3898305085,390487.0,409568.1,409598.0,-1.7434567429892625
0.2,8,0.05657414530263912,0.032645270335342015,1.0,1.0,59,59,22107751.0,374707.6440677966,390526.0,409568.1,374515.3898305085,390487.0,409568.1,409598.0,-1.7434258546973609
0.2,16,0.05660873030954293,0.03266908480458095,1.0,1.0,59,59,22106954.0,374694.13559322036,390504.0,409568.1,374515.3898305085,390487.0,409568.1,409598.0,-1.7433912696904572
0.2,24,0.05663758445021542,0.032688460819724166,1.0,1.0,59,59,22106356.0,374684.0,390487.0,409568.1,374515.3898305085,390487.0,409568.1,409598.0,-1.7433624155497847
0.2,32,0.056665038503885067,0.03270700922570362,1.0,1.0,59,59,22105574.0,374670.74576271186,390487.0,409568.1,374515.3898305085,390487.0,409568.1,409598.0,-1.7433349614961149
0.2,48,0.05671237429705457,0.032739448912585914,1.0,1.0,59,59,22104596.0,374654.16949152545,390487.0,409568.1,374515.3898305085,390487.0,409568.1,409598.0,-1.7432876257029455
0.22,0,0.10955611808340983,0.0705645972047348,1.0,1.0,59,59,18343819.0,310912.18644067796,323980.0,406013.6,302325.76271186443,316844.0,405830.8,407882.0,-1.6904438819165901
0.22,8,0.10964565268185739,0.07063764477861961,1.0,1.0,59,59,18341628.0,310875.0508474576,323886.0,406012.7,302325.76271186443,316844.0,405830.8,407882.0,-1.6903543473181426
0.22,16,0.10975035168355644,0.0707217271254714,1.0,1.0,59,59,18338801.0,310827.13559322036,323710.0,406012.7,302325.76271186443,316844.0,405830.8,407882.0,-1.6902496483164435
0.22,24,0.10984693587625366,0.07080223825727143,1.0,1.0,59,59,18336492.0,310788.0,323593.0,406010.8,302325.76271186443,316844.0,405830.8,407882.0,-1.6901530641237463
0.22,32,0.10994907659297176,0.07088765264989755,1.0,1.0,59,59,18334579.0,310755.57627118647,323481.0,406010.8,302325.76271186443,316844.0,405830.8,407882.0,-1.6900509234070282
0.22,48,0.11011558925593841,0.0710253158395598,1.0,1.0,59,59,18331281.0,310699.6779661017,323376.0,406010.8,302325.76271186443,316844.0,405830.8,407882.0,-1.6898844107440616
0.24,0,0.18024344365348302,0.12364796557865185,1.0,1.0,59,59,11686156.0,198070.4406779661,205661.0,374907.7,183112.5254237288,186548.0,371512.7,387444.0,-1.619756556346517
0.24,8,0.18058543246909112,0.12391837180148486,1.0,1.0,59,59,11677398.0,197922.0,205635.0,374894.5,183112.5254237288,186548.0,371512.7,387444.0,-1.6194145675309088
0.24,16,0.1810020829041027,0.12424309711480092,1.0,1.0,59,59,11664937.0,197710.7966101695,205584.0,374844.0,183112.5254237288,186548.0,371512.7,387444.0,-1.6189979170958972
