threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,stage2_score
0.1,0,0.01718730791828486,0.008809670295443774,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809670293023875,1.0,0.017187307915905375,0.006884594009094528,1.0,0.013675040913442248,0.8702840363540515,1.0,1.0,1.0,0.0,-1.7828126920817151
0.1,8,0.01718730791828486,0.008809670295443774,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809670293023875,1.0,0.017187307915905375,0.006884594009094528,1.0,0.013675040913442248,0.8702840363540515,1.0,1.0,1.0,0.0,-1.7828126920817151
0.1,16,0.01718730791828486,0.008809670295443774,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809670293023875,1.0,0.017187307915905375,0.006884594009094528,1.0,0.013675040913442248,0.8702840363540515,1.0,1.0,1.0,0.0,-1.7828126920817151
0.1,24,0.01718730791828486,0.008809670295443774,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809670293023875,1.0,0.017187307915905375,0.006884594009094528,1.0,0.013675040913442248,0.8702840363540515,1.0,1.0,1.0,0.0,-1.7828126920817151
0.1,32,0.01718730791828486,0.008809670295443774,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809670293023875,1.0,0.017187307915905375,0.006884594009094528,1.0,0.013675040913442248,0.8702840363540515,1.0,1.0,1.0,0.0,-1.7828126920817151
0.1,48,0.01718730791828486,0.008809670295443774,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809670293023875,1.0,0.017187307915905375,0.006884594009094528,1.0,0.013675040913442248,0.8702840363540515,1.0,1.0,1.0,0.0,-1.7828126920817151
0.12,0,0.017187020999922645,0.008809509135515932,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809523997150638,0.9999924350089007,0.017187020997543143,0.006884368885063677,0.9999619113164105,0.013674593240068308,0.8702840363540515,1.0,1.0,1.0,2.0316918057156405e-05,-1.7828129790000773
0.12,8,0.017187020999922645,0.008809509135515932,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809523997150638,0.9999924350089007,0.017187020997543143,0.006884368885063677,0.9999619113164105,0.013674593240068308,0.8702840363540515,1.0,1.0,1.0,2.0316918057156405e-05,-1.7828129790000773
0.12,16,0.017187020999922645,0.008809509135515932,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809523997150638,0.9999924350089007,0.017187020997543143,0.006884368885063677,0.9999619113164105,0.013674593240068308,0.8702840363540515,1.0,1.0,1.0,2.0316918057156405e-05,-1.7828129790000773
0.12,24,0.017187020999922645,0.008809509135515932,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809523997150638,0.9999924350089007,0.017187020997543143,0.006884368885063677,0.9999619113164105,0.013674593240068308,0.8702840363540515,1.0,1.0,1.0,2.0316918057156405e-05,-1.7828129790000773
