fold = 0
device = cuda
base_train_patch_count = 1173
val_patch_count = 425
save_dir = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/stage1/fold0
epoch 22/30 | encoder_frozen=False | train_patches=1298 | replay_patches=125 | train_loss=0.635607 | val_loss=0.627263 | patch_dice_all=0.664685 | patch_dice_pos_only=0.685731 | positive_recall=0.996904 | negative_fpr=0.401961 | lr_encoder=1.250000e-05 | lr_decoder=5.000000e-05
epoch 23/30 | encoder_frozen=False | train_patches=1298 | replay_patches=125 | train_loss=0.633955 | val_loss=0.625521 | patch_dice_all=0.651872 | patch_dice_pos_only=0.678160 | positive_recall=0.996904 | negative_fpr=0.431373 | lr_encoder=1.250000e-05 | lr_decoder=5.000000e-05
epoch 24/30 | encoder_frozen=False | train_patches=1298 | replay_patches=121 | train_loss=0.632459 | val_loss=0.623961 | patch_dice_all=0.678717 | patch_dice_pos_only=0.691810 | positive_recall=0.996904 | negative_fpr=0.362745 | lr_encoder=1.250000e-05 | lr_decoder=5.000000e-05
epoch 25/30 | encoder_frozen=False | train_patches=1294 | replay_patches=121 | train_loss=0.631987 | val_loss=0.622596 | patch_dice_all=0.690578 | patch_dice_pos_only=0.691937 | positive_recall=0.996904 | negative_fpr=0.313725 | lr_encoder=1.250000e-05 | lr_decoder=5.000000e-05
epoch 26/30 | encoder_frozen=False | train_patches=1294 | replay_patches=121 | train_loss=0.630561 | val_loss=0.622876 | patch_dice_all=0.696045 | patch_dice_pos_only=0.692939 | positive_recall=0.996904 | negative_fpr=0.294118 | lr_encoder=6.250000e-06 | lr_decoder=2.500000e-05
epoch 27/30 | encoder_frozen=False | train_patches=1294 | replay_patches=118 | train_loss=0.629787 | val_loss=0.622587 | patch_dice_all=0.707199 | patch_dice_pos_only=0.698326 | positive_recall=0.996904 | negative_fpr=0.264706 | lr_encoder=6.250000e-06 | lr_decoder=2.500000e-05
epoch 28/30 | encoder_frozen=False | train_patches=1291 | replay_patches=118 | train_loss=0.630650 | val_loss=0.620429 | patch_dice_all=0.686004 | patch_dice_pos_only=0.692110 | positive_recall=0.996904 | negative_fpr=0.333333 | lr_encoder=6.250000e-06 | lr_decoder=2.500000e-05
epoch 29/30 | encoder_frozen=False | train_patches=1291 | replay_patches=118 | train_loss=0.629938 | val_loss=0.617248 | patch_dice_all=0.669797 | patch_dice_pos_only=0.680074 | positive_recall=0.996904 | negative_fpr=0.362745 | lr_encoder=6.250000e-06 | lr_decoder=2.500000e-05
early stopping triggered, stage1 stopped early.
stage1 training finished.
