fold,image_name,sample_type,is_defect_image,pred_has_positive,dice,iou,threshold,min_area,fp_pixel_count,largest_fp_component_area,pixel_precision,pixel_recall,pixel_f1,tp_pixel_count,fp_pixel_count_for_metric,fn_pixel_count,pred_pixel_count,target_pixel_count,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px
0,camera052.png,defect,True,True,0.6851211075388225,0.5210526322091412,0.8,16,0,0,0.5617021276595745,0.8780487804878049,0.6851211072664359,396,309,55,705,451,1.0,1.0,1.0,0.8329588014981273
0,camera059.png,defect,True,True,0.6700971985877089,0.503869303951961,0.8,16,0,0,0.8419540229885057,0.5565052231718899,0.6700971983990852,586,110,467,696,1053,0.6666666666666666,1.0,0.8,0.7312147943458391
0,camera064.png,defect,True,True,0.6868353502303964,0.5230382575365766,0.8,16,0,0,0.58458177278402,0.8324444444444444,0.6868353502016868,3746,2662,754,6408,4500,1.0,0.6666666666666666,0.8,0.6351724676135476
0,camera065.png,defect,True,True,0.9098095402803832,0.834541829065778,0.8,16,0,0,0.8565514675101168,0.970129596459804,0.9098095402781552,18415,3084,567,21499,18982,1.0,1.0,1.0,0.6649486083374387
0,camera076.png,defect,True,True,0.5955056185456382,0.424000001152,0.8,16,0,0,0.47533632286995514,0.7969924812030075,0.5955056179775281,212,234,54,446,266,1.0,0.5,0.6666666666666666,0.7390270955474567
0,camera095.png,defect,True,True,0.5244865726311428,0.35546038681914266,0.8,16,0,0,0.8736842105263158,0.3747178329571106,0.5244865718799369,166,24,277,190,443,1.0,1.0,1.0,0.6716417910447761
0,camera109.png,defect,True,True,0.7744680851373413,0.6319444445268941,0.8,16,0,0,0.6625176139032409,0.9319458209448299,0.774468085106383,2821,1437,206,4258,3027,1.0,1.0,1.0,0.7940729855498407
0,camera119.png,defect,True,True,0.8766642282406243,0.7804115655232919,0.8,16,0,0,0.80455448735163,0.9629724865003857,0.8766642282370154,14980,3639,576,18619,15556,1.0,1.0,1.0,0.5621346357441014
0,camera126.png,defect,True,True,0.6660212975159522,0.49927431132180794,0.8,16,0,0,0.5341614906832298,0.884318766066838,0.6660212971926428,344,300,45,644,389,1.0,0.5,0.6666666666666666,0.837731001087064
0,camera135.png,defect,True,True,0.5137138622102086,0.345635910387622,0.8,16,0,0,0.3650250197524361,0.8667917448405253,0.513713862120089,1386,2411,213,3797,1599,1.0,0.5,0.6666666666666666,0.49936849595303734
0,camera139.png,defect,True,True,0.8918705604215191,0.8048433049823054,0.8,16,0,0,0.8158844765342961,0.9834638816362054,0.8918705603788477,1130,255,19,1385,1149,1.0,1.0,1.0,0.9844960188814889
0,camera146.png,defect,True,True,0.869088550117772,0.7684850570889413,0.8,16,0,0,0.8437992063991938,0.8959406139236273,0.8690885501135258,13397,2480,1556,15877,14953,1.0,1.0,1.0,0.6264216972878389
0,camera161.png,defect,True,True,0.8809390721738742,0.7872127874253618,0.8,16,0,0,0.8199791883454735,0.9516908212560387,0.8809390721073225,788,173,40,961,828,1.0,0.5,0.6666666666666666,0.8067802414176868
0,camera164.png,defect,True,True,0.7873612298089834,0.6492957748948621,0.8,16,0,0,0.7197501951600312,0.8689915174363808,0.7873612297181896,922,359,139,1281,1061,1.0,1.0,1.0,0.9081088026038963
0,camera166.png,defect,True,True,0.747624565527781,0.59696521110401,0.8,16,0,0,0.6082202111613876,0.9699338544798557,0.7476245654692931,1613,1039,50,2652,1663,1.0,0.4,0.5714285714285715,0.7076251180358828
0,camera185.png,defect,True,True,0.856906686266674,0.7496384380725022,0.8,16,0,0,0.8142782335486123,0.9042450087226207,0.8569066862601029,9330,2128,988,11458,10318,1.0,1.0,1.0,0.7354835885975014
0,camera188.png,defect,True,True,0.9337808971822457,0.8757870636085936,0.8,16,0,0,0.9306569343065694,0.9369259032455604,0.9337808971620385,1530,114,103,1644,1633,1.0,1.0,1.0,0.9774774774774774
0,camera191.png,defect,True,True,0.8595178721034764,0.7536443152279237,0.8,16,0,0,0.8489326765188834,0.8703703703703703,0.8595178719866999,517,92,77,609,594,1.0,1.0,1.0,0.9185667752442997
0,camera193.png,defect,True,True,0.8040651295154557,0.67233187140491,0.8,16,0,0,0.7106432296696928,0.9257674886763966,0.8040651294940444,3679,1498,295,5177,3974,1.0,1.0,1.0,0.6617114622822337
0,camera214.png,defect,True,True,0.8494238555084535,0.7382595750794073,0.8,16,0,0,0.7697192041766615,0.9475421226333159,0.8494238554967299,5455,1632,302,7087,5757,1.0,1.0,1.0,0.7764460872957165
0,camera233.png,defect,True,True,0.7594936709783301,0.6122448981989828,0.8,16,0,0,0.8722466960352423,0.6725543478260869,0.759493670886076,990,145,482,1135,1472,1.0,1.0,1.0,0.8476190476190476
0,camera258.png,defect,True,True,0.8937282230273728,0.8078740158488851,0.8,16,0,0,0.9149821640903686,0.873439273552781,0.8937282229965157,1539,143,223,1682,1762,1.0,1.0,1.0,0.9393939393939393
0,camera267.png,defect,True,True,0.8479018079535741,0.7359631443317123,0.8,16,0,0,0.8197562540089801,0.8780487804878049,0.8479018079283464,2556,562,355,3118,2911,1.0,1.0,1.0,0.8664374064007987
0,camera274.png,defect,True,True,0.6927710848000436,0.5299539181337467,0.8,16,0,0,0.7395498392282959,0.6515580736543909,0.6927710843373494,230,81,123,311,353,1.0,1.0,1.0,0.8549019607843137
0,camera275.png,defect,True,True,0.9197887440237837,0.8514896868064951,0.8,16,0,0,0.9439363143631436,0.8968458319922755,0.9197887440171646,5573,331,641,5904,6214,1.0,1.0,1.0,0.8943014581900098
0,camera280.png,defect,True,True,0.77330077339304,0.6303915065491761,0.8,16,0,0,0.700589970501475,0.8628519527702089,0.7733007733007733,950,406,151,1356,1101,1.0,1.0,1.0,0.8969556309042447
