run,status,label,variant,seed,val_stage2_score,val_defect_dice,val_defect_iou,val_normal_fpr,val_threshold,val_min_area,holdout_labeled_count,holdout_defect_dice,holdout_defect_iou,holdout_normal_fpr,holdout_threshold,holdout_min_area
811_m0_baseline_s20260515,完成,M0 full baseline,resnet34_unet_baseline,20260515,0.31617970674760426,0.5279444126299572,0.4222347011622443,0.20588235294117646,0.95,48,45,0.48264001974324855,0.38506815498156044,0.0,0.95,48
811_t3_normal_fp_loss_s20260515,完成,T3 normal FP loss,resnet34_unet_baseline,20260515,0.30573667796979914,0.39985432502862267,0.3021283247688845,0.14705882352941177,0.95,48,45,0.4015248056170889,0.30094232204322385,0.0,0.95,48
811_t2_no_hard_normal_s20260515,完成,T2 no hard normal mining,resnet34_unet_baseline,20260515,0.2315069355314689,0.38444811200205714,0.2947968999791113,0.17647058823529413,0.95,48,45,0.3850447434295616,0.3026146991035909,0.0,0.95,48
811_t1_no_stage1_s20260515,完成,T1 no Stage1,resnet34_unet_baseline,20260515,-0.9606008947846401,0.3688108699212423,0.2691908904794598,0.7647058823529411,0.95,48,45,0.41185594782233037,0.3046676209194316,0.0,0.95,48
