epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
1,0.6367429955170887,0.7398352018403435,0.6174026879142336,0.9622641509433962,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,48,0.7398352018403435,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
2,0.6331407870396529,0.73325272083548,0.6067763238330688,0.9622641509433962,0.06666666666666667,15,1,50.0,3.3333333333333335,0.0,14.999999999999947,3.3333333333333335,0.0,14.999999999999947,50.0,0.9,48,0.73325272083548,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
3,0.6363608582964483,0.7850525899809908,0.6674718214856993,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,32,0.7850525899809908,158,95,63,44,63,1,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
4,0.6411682652977277,0.7045053364706664,0.5935469315126372,0.9811320754716981,0.26666666666666666,15,4,2833.0,188.86666666666667,0.0,1011.8999999999999,184.93333333333334,0.0,1011.8999999999999,1098.0,0.9,32,0.37117200313733306,158,95,63,44,63,1,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
5,0.6327196296655907,0.6467151741539052,0.5097503879237026,1.0,0.5333333333333333,15,8,7878.0,525.2,48.0,1968.099999999997,355.3333333333333,48.0,1286.7999999999993,1718.0,0.9,48,-0.21995149251276147,158,95,63,44,63,8,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
6,0.6301652001884749,0.6270396584655924,0.48740499297760015,1.0,0.4666666666666667,15,7,10975.0,731.6666666666666,0.0,3709.199999999998,412.46666666666664,0.0,1660.3999999999994,2093.0,0.9,48,-0.106293674867741,158,95,63,44,63,8,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
7,0.6294405397379174,0.6110314644310448,0.4872876480682558,1.0,0.4666666666666667,15,7,29827.0,1988.4666666666667,0.0,10435.699999999999,1315.5333333333333,0.0,5473.099999999999,5646.0,0.9,8,-0.12230186890228856,158,95,63,44,63,15,"{""camera"": 141, ""phone"": 124}",2e-05,0.0001
8,0.6276659747339645,0.6822270267653379,0.5597262862777127,1.0,0.4,15,6,15578.0,1038.5333333333333,0.0,5705.0999999999985,745.6,0.0,3761.2999999999997,4077.0,0.9,48,0.08222702676533777,158,95,63,44,63,15,"{""camera"": 142, ""phone"": 123}",1e-05,5e-05
9,0.6260464627787752,0.7302820074920596,0.6059697959631075,1.0,0.4666666666666667,15,7,8524.0,568.2666666666667,0.0,3322.0999999999995,478.53333333333336,0.0,2689.8999999999996,2958.0,0.9,48,-0.0030513258412737665,158,95,63,44,63,13,"{""camera"": 121, ""phone"": 144}",1e-05,5e-05
10,0.6249640395056527,0.7057512276962185,0.572043884267181,1.0,0.4666666666666667,15,7,7857.0,523.8,0.0,2906.6999999999994,455.46666666666664,0.0,2457.9999999999995,2745.0,0.9,48,-0.02758210563711494,158,95,63,44,63,13,"{""camera"": 122, ""phone"": 143}",1e-05,5e-05
11,0.6232250065173743,0.7708478547430453,0.6516241625725198,1.0,0.26666666666666666,15,4,2851.0,190.06666666666666,0.0,946.3999999999987,181.73333333333332,0.0,884.4999999999986,1742.0,0.9,24,0.437514521409712,158,95,63,44,63,11,"{""camera"": 136, ""phone"": 129}",1e-05,5e-05
12,0.6235076117065718,0.7257948060204233,0.5897034335308818,1.0,0.4,15,6,4946.0,329.73333333333335,0.0,1659.399999999999,300.1333333333333,0.0,1542.9999999999993,1998.0,0.9,48,0.12579480602042326,158,95,63,44,63,11,"{""camera"": 136, ""phone"": 129}",5e-06,2.5e-05
13,0.6227714601552712,0.6467389717823595,0.5053797995993398,1.0,0.6,15,9,8570.0,571.3333333333334,70.0,2994.6999999999994,474.6,70.0,2442.8999999999996,2592.0,0.9,48,-0.3532610282176405,158,95,63,44,63,11,"{""camera"": 155, ""phone"": 110}",5e-06,2.5e-05
14,0.6215890315343748,0.7596426693696744,0.6382469858787613,1.0,0.26666666666666666,15,4,4008.0,267.2,0.0,1627.799999999999,242.6,0.0,1517.0999999999995,1879.0,0.9,48,0.4263093360363411,158,95,63,44,63,11,"{""camera"": 158, ""phone"": 107}",5e-06,2.5e-05
15,0.6209788511384208,0.7653097796963243,0.6442149903084838,1.0,0.26666666666666666,15,4,2830.0,188.66666666666666,0.0,996.8999999999985,164.46666666666667,0.0,841.5999999999987,1704.0,0.9,48,0.431976446362991,158,95,63,44,63,6,"{""camera"": 148, ""phone"": 117}",5e-06,2.5e-05
