epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
1,0.669775664806366,0.700487492651059,0.5811733068245726,0.9259259259259259,0.0625,16,1,426.0,26.625,0.0,106.5,26.625,0.0,106.5,426.0,0.72,48,0.700487492651059,157,157,0,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.6666008520126343,0.7240823836382118,0.6044198308369024,0.9444444444444444,0.0625,16,1,210.0,13.125,0.0,52.5,13.125,0.0,52.5,210.0,0.86,32,0.7240823836382118,157,157,0,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6700463023022554,0.6065671933797276,0.4792857242083778,0.9444444444444444,0.625,16,10,10323.0,645.1875,129.0,2986.0,645.1875,129.0,2986.0,3262.0,0.9,48,-0.4434328066202724,157,94,63,43,63,3,"{""camera"": 160, ""phone"": 103}",2e-05,0.0001
4,0.6677079817188103,0.70458887687195,0.5841457446366454,0.9444444444444444,0.125,16,2,417.0,26.0625,0.0,128.25,26.0625,0.0,128.25,369.0,0.9,32,0.6545888768719501,157,94,63,43,63,3,"{""camera"": 156, ""phone"": 107}",2e-05,0.0001
5,0.6660945329376047,0.7076103192040472,0.5869600516613308,0.9444444444444444,0.0625,16,1,268.0,16.75,0.0,67.0,16.75,0.0,67.0,268.0,0.9,48,0.7076103192040472,157,94,63,43,63,9,"{""camera"": 159, ""phone"": 104}",2e-05,0.0001
6,0.6646338037211632,0.742745979888525,0.616371468421871,0.9814814814814815,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,8,0.742745979888525,157,94,63,43,63,9,"{""camera"": 159, ""phone"": 104}",2e-05,0.0001
7,0.6630983212148281,0.7195814320322521,0.5997642216619441,0.9444444444444444,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,16,0.7195814320322521,157,94,63,43,63,4,"{""camera"": 148, ""phone"": 115}",2e-05,0.0001
8,0.6617124062527269,0.7054827270123055,0.5765418951519018,0.9814814814814815,0.0625,16,1,91.0,5.6875,0.0,22.75,5.6875,0.0,22.75,91.0,0.7,16,0.7054827270123055,157,94,63,43,63,4,"{""camera"": 147, ""phone"": 116}",2e-05,0.0001
9,0.6606500731221623,0.7233509762192464,0.5923459069458366,0.9814814814814815,0.0625,16,1,12.0,0.75,0.0,3.0,0.75,0.0,3.0,12.0,0.6,8,0.7233509762192464,157,94,63,43,63,7,"{""camera"": 142, ""phone"": 121}",2e-05,0.0001
10,0.6590674580729959,0.7464997963040524,0.6203289066517539,0.9814814814814815,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,16,0.7464997963040524,157,94,63,43,63,7,"{""camera"": 145, ""phone"": 118}",2e-05,0.0001
11,0.6534376955032348,0.7384200915056562,0.6093662537142045,0.9814814814814815,0.0625,16,1,95.0,5.9375,0.0,23.75,5.9375,0.0,23.75,95.0,0.82,16,0.7384200915056562,157,157,0,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
12,0.6528154373168945,0.748087168094401,0.6218555420506016,0.9814814814814815,0.0625,16,1,376.0,23.5,0.0,94.0,23.5,0.0,94.0,376.0,0.8,0,0.748087168094401,157,157,0,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
13,0.6577430068313396,0.7039126611426713,0.58186009287637,0.9629629629629629,0.0625,16,1,924.0,57.75,0.0,231.0,51.0625,0.0,204.25,817.0,0.9,8,0.7039126611426713,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",2e-05,0.0001
14,0.6565578568570968,0.6246779524230214,0.4851164083465385,0.9629629629629629,0.375,16,6,5233.0,327.0625,0.0,1355.0,288.3125,0.0,1265.0,2009.0,0.9,48,0.07467795242302133,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",2e-05,0.0001
15,0.6550971206150128,0.6695537735463232,0.5563412024396345,0.8888888888888888,0.1875,16,3,1313.0,82.0625,0.0,468.0,77.3125,0.0,468.0,777.0,0.9,16,0.4945537735463232,157,94,63,43,63,22,"{""camera"": 144, ""phone"": 119}",2e-05,0.0001
16,0.6533496259736471,0.6902553312694073,0.5808199324748459,0.8888888888888888,0.0625,16,1,537.0,33.5625,0.0,134.25,33.5625,0.0,134.25,537.0,0.82,48,0.6902553312694073,157,94,63,43,63,22,"{""camera"": 146, ""phone"": 117}",2e-05,0.0001
17,0.6521207878344866,0.7444092614368871,0.6171324619662037,0.9814814814814815,0.0625,16,1,702.0,43.875,0.0,175.5,43.875,0.0,175.5,702.0,0.76,16,0.7444092614368871,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",2e-05,0.0001
18,0.6510199505566644,0.758389175893897,0.6349585716594217,0.9814814814814815,0.0625,16,1,575.0,35.9375,0.0,143.75,35.9375,0.0,143.75,575.0,0.84,24,0.758389175893897,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",1e-05,5e-05
19,0.6499527543216603,0.7626404244845725,0.6359348622057861,1.0,0.0625,16,1,629.0,39.3125,0.0,157.25,39.3125,0.0,157.25,629.0,0.82,8,0.7626404244845725,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",1e-05,5e-05
20,0.6492948727009414,0.7637531293785215,0.6392220286698098,1.0,0.0625,16,1,618.0,38.625,0.0,154.5,38.625,0.0,154.5,618.0,0.8,0,0.7637531293785215,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",1e-05,5e-05
21,0.6487504756042712,0.7579678724630804,0.6341097906691288,0.9814814814814815,0.0625,16,1,614.0,38.375,0.0,153.5,38.375,0.0,153.5,614.0,0.82,16,0.7579678724630804,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",1e-05,5e-05
22,0.648206201116395,0.7577931642555944,0.6332704445394868,0.9814814814814815,0.0625,16,1,629.0,39.3125,0.0,157.25,39.3125,0.0,157.25,629.0,0.82,24,0.7577931642555944,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",1e-05,5e-05
23,0.6475133551390906,0.7524110156857456,0.6274021091729124,0.9814814814814815,0.0625,16,1,694.0,43.375,0.0,173.5,43.375,0.0,173.5,694.0,0.78,16,0.7524110156857456,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",1e-05,5e-05
24,0.6470198431849027,0.7518490323155466,0.6254024654064496,0.9814814814814815,0.0625,16,1,744.0,46.5,0.0,186.0,46.5,0.0,186.0,744.0,0.76,8,0.7518490323155466,157,94,63,43,63,1,"{""camera"": 179, ""phone"": 84}",1e-05,5e-05
25,0.6462417494208187,0.7627069443784312,0.6407053268347846,0.9814814814814815,0.0625,16,1,575.0,35.9375,0.0,143.75,35.9375,0.0,143.75,575.0,0.82,24,0.7627069443784312,157,94,63,43,63,3,"{""camera"": 157, ""phone"": 106}",1e-05,5e-05
26,0.646095019782904,0.7557316436485316,0.6309333240800439,0.9814814814814815,0.0625,16,1,615.0,38.4375,0.0,153.75,38.4375,0.0,153.75,615.0,0.84,0,0.7557316436485316,157,94,63,43,63,3,"{""camera"": 158, ""phone"": 105}",5e-06,2.5e-05
27,0.6457703276732122,0.7493135920849981,0.6233301863913274,0.9814814814814815,0.0625,16,1,716.0,44.75,0.0,179.0,44.75,0.0,179.0,716.0,0.82,16,0.7493135920849981,157,94,63,43,63,3,"{""camera"": 159, ""phone"": 104}",5e-06,2.5e-05
28,0.6451093230410674,0.7587837143232827,0.6351178014150347,0.9814814814814815,0.0625,16,1,690.0,43.125,0.0,172.5,43.125,0.0,172.5,690.0,0.78,16,0.7587837143232827,157,94,63,43,63,3,"{""camera"": 156, ""phone"": 107}",5e-06,2.5e-05
29,0.6449556928623765,0.7594151619059842,0.6363119473588584,0.9814814814814815,0.0625,16,1,598.0,37.375,0.0,149.5,37.375,0.0,149.5,598.0,0.82,24,0.7594151619059842,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",5e-06,2.5e-05
30,0.6446430474633047,0.7567012941560256,0.6339617894432027,0.9814814814814815,0.0625,16,1,557.0,34.8125,0.0,139.25,34.8125,0.0,139.25,557.0,0.82,16,0.7567012941560256,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",5e-06,2.5e-05
31,0.6442334411715374,0.7601846478813984,0.637275802924519,0.9814814814814815,0.0625,16,1,457.0,28.5625,0.0,114.25,28.5625,0.0,114.25,457.0,0.8,16,0.7601846478813984,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",2.5e-06,1.25e-05
32,0.6439325222497657,0.7626643708635773,0.6397574880977609,0.9814814814814815,0.0625,16,1,386.0,24.125,0.0,96.5,24.125,0.0,96.5,386.0,0.78,32,0.7626643708635773,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",2.5e-06,1.25e-05
33,0.6437746608211967,0.7633894734760865,0.6416597802788387,0.9814814814814815,0.0625,16,1,310.0,19.375,0.0,77.5,19.375,0.0,77.5,310.0,0.8,24,0.7633894734760865,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",2.5e-06,1.25e-05
34,0.6435764416089076,0.7612233544814555,0.6388997511009131,0.9814814814814815,0.0625,16,1,396.0,24.75,0.0,99.0,24.75,0.0,99.0,396.0,0.82,24,0.7612233544814555,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",2.5e-06,1.25e-05
35,0.6439021279603356,0.7618419093062239,0.6390115858048441,0.9814814814814815,0.0625,16,1,394.0,24.625,0.0,98.5,24.625,0.0,98.5,394.0,0.82,32,0.7618419093062239,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",2.5e-06,1.25e-05
36,0.6433614408561938,0.7634064900980145,0.6417159563972602,0.9814814814814815,0.0625,16,1,386.0,24.125,0.0,96.5,24.125,0.0,96.5,386.0,0.82,24,0.7634064900980145,157,94,63,43,63,1,"{""camera"": 116, ""phone"": 147}",1.25e-06,6.25e-06
