epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
18,0.6542524038074172,0.6946887317164092,0.5477292656588733,1.0,0.14285714285714285,14,2,85.0,6.071428571428571,0.0,33.34999999999998,6.071428571428571,0.0,33.34999999999998,73.0,0.5,0,0.6089744460021236,159,64,149,10,45,10,5,2,"{""camera"": 126, ""phone"": 88}",5e-06,2.5e-05
19,0.6545589301321242,0.691444052647609,0.5439892736944829,1.0,0.07142857142857142,14,1,103.0,7.357142857142857,0.0,36.04999999999996,7.357142857142857,0.0,36.04999999999996,103.0,0.5,0,0.691444052647609,159,64,147,12,45,12,6,2,"{""camera"": 124, ""phone"": 92}",2.5e-06,1.25e-05
20,0.6541189617580838,0.7022150450472839,0.5558410760898933,1.0,0.07142857142857142,14,1,37.0,2.642857142857143,0.0,12.949999999999987,2.642857142857143,0.0,12.949999999999987,37.0,0.5,0,0.7022150450472839,159,64,147,12,45,12,6,2,"{""camera"": 124, ""phone"": 92}",2.5e-06,1.25e-05
21,0.6531956161771502,0.7063376231763987,0.5604644944698388,1.0,0.07142857142857142,14,1,3.0,0.21428571428571427,0.0,1.049999999999999,0.21428571428571427,0.0,1.049999999999999,3.0,0.5,0,0.7063376231763987,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",2.5e-06,1.25e-05
22,0.6529804655483791,0.707063535923502,0.5615644196180716,1.0,0.0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.707063535923502,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",2.5e-06,1.25e-05
23,0.6531534773962838,0.7002064504514921,0.5539668781488363,1.0,0.07142857142857142,14,1,38.0,2.7142857142857144,0.0,13.299999999999986,2.7142857142857144,0.0,13.299999999999986,38.0,0.5,0,0.7002064504514921,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",2.5e-06,1.25e-05
24,0.6530475497245789,0.6989007067515665,0.5524244164499951,1.0,0.07142857142857142,14,1,68.0,4.857142857142857,0.0,23.799999999999976,4.857142857142857,0.0,23.799999999999976,68.0,0.5,0,0.6989007067515665,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",1.25e-06,6.25e-06
25,0.6527665768350873,0.6964800741679731,0.5498157146561083,1.0,0.07142857142857142,14,1,56.0,4.0,0.0,19.59999999999998,4.0,0.0,19.59999999999998,56.0,0.5,0,0.6964800741679731,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",1.25e-06,6.25e-06
26,0.6526372262409755,0.6947575317656596,0.548064080649625,1.0,0.14285714285714285,14,2,6.0,0.42857142857142855,0.0,2.6999999999999993,0.42857142857142855,0.0,2.6999999999999993,4.0,0.5,0,0.6090432460513739,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",1.25e-06,6.25e-06
27,0.6532560978616987,0.6959353641183212,0.5493771682915891,1.0,0.07142857142857142,14,1,8.0,0.5714285714285714,0.0,2.799999999999997,0.5714285714285714,0.0,2.799999999999997,8.0,0.5,0,0.6959353641183212,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",1.25e-06,6.25e-06
28,0.6526331084115164,0.6940750649131939,0.5473662481593187,1.0,0.14285714285714285,14,2,16.0,1.1428571428571428,0.0,7.099999999999998,1.1428571428571428,0.0,7.099999999999998,11.0,0.5,0,0.6083607791989083,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",1.25e-06,6.25e-06
29,0.6524817177227565,0.6967407360678214,0.5502863815624622,1.0,0.07142857142857142,14,1,1.0,0.07142857142857142,0.0,0.34999999999999964,0.07142857142857142,0.0,0.34999999999999964,1.0,0.5,0,0.6967407360678214,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",6.25e-07,3.125e-06
