epoch,encoder_frozen,train_loss,val_loss,patch_dice_all,patch_dice_pos_only,positive_patch_recall,negative_patch_fpr,stage1_score,train_patch_count,replay_patch_count,train_family_counts_json,patch_dice_by_type_json,count_by_type_json,lr_encoder,lr_decoder
1,True,0.8270438044678932,0.8628400356629315,0.3662792564994401,0.45098663057757693,0.9845201238390093,0.9019607843137255,0.45098663057757693,1173,0,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937}","{""hard_negative"": 0.03846155340935981, ""near_miss_negative"": 1.00958491344727e-08, ""normal_negative"": 0.1764706214640225, ""positive_boundary"": 0.4557292715857806, ""positive_center"": 0.450477136815538, ""positive_context"": 0.4462344062293961, ""positive_shift"": 0.4488701310896495}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
2,True,0.7450778147956802,0.8064470089183134,0.15823333640283763,0.19891383105199767,1.0,0.9705882352941176,0.19891383105199767,1173,0,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937}","{""hard_negative"": 0.07692308974279394, ""near_miss_negative"": 5.4314927427911994e-09, ""normal_negative"": 0.019607844555112715, ""positive_boundary"": 0.19634119574739425, ""positive_center"": 0.18469234900373332, ""positive_context"": 0.20597065847229074, ""positive_shift"": 0.20493711328125105}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
3,True,0.721814846494517,0.7677950864679673,0.16059812072027677,0.21131331321059643,1.0,1.0,0.21131331321059643,1173,0,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937}","{""hard_negative"": 1.239812218701585e-09, ""near_miss_negative"": 4.773803924384979e-10, ""normal_negative"": 2.146912508923254e-08, ""positive_boundary"": 0.20843531966588838, ""positive_center"": 0.18538800061170785, ""positive_context"": 0.223955108370218, ""positive_shift"": 0.2205930162842075}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
4,False,0.7148060700932487,0.718269994539373,0.5955159778707563,0.6040070860820632,0.9628482972136223,0.43137254901960786,0.6040070860820632,1342,169,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937, ""replay"": 169}","{""hard_negative"": 0.6923077002601785, ""near_miss_negative"": 0.4400000349078014, ""normal_negative"": 0.5686274649236333, ""positive_boundary"": 0.5935752843189621, ""positive_center"": 0.5856208849781108, ""positive_context"": 0.6036357593011973, ""positive_shift"": 0.6236474091847591}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
5,False,0.703074351508287,0.7023568224906921,0.40567805369719234,0.4718674017956269,0.9969040247678018,0.803921568627451,0.4718674017956269,1342,169,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937, ""replay"": 169}","{""hard_negative"": 0.307692316012874, ""near_miss_negative"": 0.040000045310109596, ""normal_negative"": 0.21568628808297677, ""positive_boundary"": 0.46751617779739685, ""positive_center"": 0.46407651732552724, ""positive_context"": 0.47661149832937455, ""positive_shift"": 0.47766988194286547}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
6,False,0.6945390740378958,0.6933875639298382,0.4976733996540351,0.5371863553478613,0.9969040247678018,0.6274509803921569,0.5371863553478613,1342,169,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937, ""replay"": 169}","{""hard_negative"": 0.34615386577449275, ""near_miss_negative"": 0.3200000289453385, ""normal_negative"": 0.4117647223889325, ""positive_boundary"": 0.5284167491589431, ""positive_center"": 0.5421674288106415, ""positive_context"": 0.5385559904906485, ""positive_shift"": 0.5428267282845769}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
7,False,0.6890834119744892,0.690669052180122,0.6229541380958574,0.6524938278629827,0.9969040247678018,0.47058823529411764,0.6524938278629827,1324,151,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937, ""replay"": 151}","{""hard_negative"": 0.6923076990644413, ""near_miss_negative"": 0.5600000549974652, ""normal_negative"": 0.43137256353694114, ""positive_boundary"": 0.6414758394241789, ""positive_center"": 0.669909047630598, ""positive_context"": 0.649597259859244, ""positive_shift"": 0.6564137424547335}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
8,False,0.6826170551452752,0.6849493035148172,0.5912820953372144,0.6201080184221628,0.9969040247678018,0.5,0.6201080184221628,1324,151,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937, ""replay"": 151}","{""hard_negative"": 0.6153846174831694, ""near_miss_negative"": 0.5200000039753242, ""normal_negative"": 0.4313725571374932, ""positive_boundary"": 0.6128790929085679, ""positive_center"": 0.631985105995862, ""positive_context"": 0.6129394424734292, ""positive_shift"": 0.6250926611563646}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
9,False,0.6787560814456998,0.678486563317916,0.5838091583955429,0.6319470289586488,0.9969040247678018,0.5686274509803921,0.6319470289586488,1324,151,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937, ""replay"": 151}","{""hard_negative"": 0.4230769680996533, ""near_miss_negative"": 0.4400000051316837, ""normal_negative"": 0.43137256207017727, ""positive_boundary"": 0.6314576447561935, ""positive_center"": 0.636142612628217, ""positive_context"": 0.6247200943805553, ""positive_shift"": 0.6339909366123074}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
10,False,0.6752357395948972,0.6740414683959063,0.7025053353499809,0.6859590277372057,0.9876160990712074,0.24509803921568626,0.6859590277372057,1316,143,"{""defect_negative"": 118, ""normal_negative"": 118, ""positive"": 937, ""replay"": 143}","{""hard_negative"": 0.7692308118529367, ""near_miss_negative"": 0.6800000036465559, ""normal_negative"": 0.7843137326526315, ""positive_boundary"": 0.6824435848302758, ""positive_center"": 0.6991039933461063, ""positive_context"": 0.6704567540495574, ""positive_shift"": 0.6907748373280364}","{""hard_negative"": 26, ""near_miss_negative"": 25, ""normal_negative"": 51, ""positive_boundary"": 108, ""positive_center"": 53, ""positive_context"": 54, ""positive_shift"": 108}",5e-05,0.0002
