threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,stage2_score
0.1,0,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809669820053318,1.0,0.017187306995224725,0.006884593822337963,1.0,0.013675040545019463,0.8746740783492699,1.0,1.0,1.0,0.0,-1.7828126930023958
0.1,8,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809669820053318,1.0,0.017187306995224725,0.006884593822337963,1.0,0.013675040545019463,0.8746740783492699,1.0,1.0,1.0,0.0,-1.7828126930023958
0.1,16,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809669820053318,1.0,0.017187306995224725,0.006884593822337963,1.0,0.013675040545019463,0.8746740783492699,1.0,1.0,1.0,0.0,-1.7828126930023958
0.1,24,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809669820053318,1.0,0.017187306995224725,0.006884593822337963,1.0,0.013675040545019463,0.8746740783492699,1.0,1.0,1.0,0.0,-1.7828126930023958
0.1,32,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809669820053318,1.0,0.017187306995224725,0.006884593822337963,1.0,0.013675040545019463,0.8746740783492699,1.0,1.0,1.0,0.0,-1.7828126930023958
0.1,48,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809669820053318,1.0,0.017187306995224725,0.006884593822337963,1.0,0.013675040545019463,0.8746740783492699,1.0,1.0,1.0,0.0,-1.7828126930023958
0.12,0,0.01718731662952378,0.008809674821041216,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809674818621318,1.0,0.017187316627144296,0.0068845952541385525,1.0,0.013675043369594655,0.8746740783492699,1.0,1.0,1.0,4.045775054906948e-05,-1.7828126833704763
0.12,8,0.01718731662952378,0.008809674821041216,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809674818621318,1.0,0.017187316627144296,0.0068845952541385525,1.0,0.013675043369594655,0.8746740783492699,1.0,1.0,1.0,4.045775054906948e-05,-1.7828126833704763
0.12,16,0.01718731662952378,0.008809674821041216,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809674818621318,1.0,0.017187316627144296,0.0068845952541385525,1.0,0.013675043369594655,0.8746740783492699,1.0,1.0,1.0,4.045775054906948e-05,-1.7828126833704763
0.12,24,0.01718731662952378,0.008809674821041216,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809674818621318,1.0,0.017187316627144296,0.0068845952541385525,1.0,0.013675043369594655,0.8746740783492699,1.0,1.0,1.0,4.045775054906948e-05,-1.7828126833704763
0.12,32,0.01718731662952378,0.008809674821041216,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809674818621318,1.0,0.017187316627144296,0.0068845952541385525,1.0,0.013675043369594655,0.8746740783492699,1.0,1.0,1.0,4.045775054906948e-05,-1.7828126833704763
0.12,48,0.01718731662952378,0.008809674821041216,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008809674818621318,1.0,0.017187316627144296,0.0068845952541385525,1.0,0.013675043369594655,0.8746740783492699,1.0,1.0,1.0,4.045775054906948e-05,-1.7828126833704763
0.14,0,0.01721146887155095,0.00882244402020797,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.008822444017786858,1.0,0.017211468869170365,0.0068873556898341,1.0,0.013680488986010686,0.8746740783492699,1.0,0.9687203791469194,0.9742350544607966,8.348711646025471e-05,-1.782788531128449
0.14,8,0.017211519173745672,0.008822470532877965,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,0.00882247053045685,1.0,0.017211519171365083,0.00688736167084508,1.0,0.013680500784945957,0.8746740783492699,1.0,0.9776649364327089,0.9823854660347551,8.362746779811752e-05,-1.7827884808262544
