epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
13,0.6563543868721078,0.6717169316929963,0.5209319066434162,1.0,0.3125,16,5,1086.0,67.875,0.0,316.75,65.6875,0.0,316.75,766.0,0.5409888218090354,0.9466401507297759,0.6717169314392054,0.6102434802242878,0.941021722730526,0.7403664698362452,0.0,1.0,0.7054673721340388,0.7903439153439153,0.5902385524953547,0.5,0,0.2467169316929963,157,63,139,18,43,18,9,2,"{""camera"": 124, ""phone"": 94}",1e-05,5e-05
14,0.6556038960404352,0.6925670739997634,0.5455766412284817,1.0,0.1875,16,3,818.0,51.125,0.0,230.75,48.25,0.0,221.75,644.0,0.5687846069722984,0.9416902551661034,0.692567073750786,0.6501328529610448,0.9308212597765183,0.7655598304082558,0.0,1.0,0.7469135802469137,0.8232363315696648,0.6355507516431987,0.5,0,0.5175670739997633,157,63,139,18,43,18,9,2,"{""camera"": 124, ""phone"": 94}",1e-05,5e-05
15,0.6548201586598548,0.6795250758023177,0.5300887923961388,1.0,0.1875,16,3,863.0,53.9375,0.0,246.0,53.8125,0.0,244.5,753.0,0.5514244885081494,0.9452369873139491,0.6795250755528682,0.6203215395700016,0.9381717830177122,0.7468343385089182,0.0,1.0,0.7354938271604938,0.8154761904761906,0.6037601534467141,0.5,0,0.5045250758023176,157,63,143,14,43,14,7,2,"{""camera"": 122, ""phone"": 92}",1e-05,5e-05
16,0.6542346159988475,0.7167695092786842,0.5736215694503026,1.0,0.125,16,2,506.0,31.625,0.0,131.5,31.625,0.0,131.5,496.0,0.6048541625946622,0.9294344379160614,0.7167695090348886,0.6862063668829922,0.9217556144457125,0.7867282668214926,0.0,1.0,0.8345679012345678,0.8899029982363315,0.6827903018258549,0.5,0,0.6667695092786843,157,63,143,14,43,14,7,2,"{""camera"": 122, ""phone"": 92}",1e-05,5e-05
17,0.6529377733619468,0.6968112780401222,0.5506130669797774,1.0,0.125,16,2,580.0,36.25,0.0,146.0,36.25,0.0,146.0,578.0,0.5728052337315983,0.9423978519265118,0.6968112777949136,0.6634099669730172,0.9299314595946896,0.7743799145746586,0.0,1.0,0.8188271604938272,0.8762786596119929,0.6383477445885584,0.5,0,0.6468112780401223,157,63,151,6,43,6,3,2,"{""camera"": 116, ""phone"": 90}",1e-05,5e-05
18,0.6524544618662121,0.7092483037346106,0.5641924523639003,1.0,0.0625,16,1,509.0,31.8125,0.0,127.25,31.8125,0.0,127.25,509.0,0.590622953490497,0.935509127602047,0.7092483034881654,0.6656506740187589,0.9293769464378977,0.7757111950660338,0.0,1.0,0.8083333333333333,0.8706349206349207,0.667890807854918,0.5,0,0.7092483037346106,157,63,151,6,43,6,3,2,"{""camera"": 116, ""phone"": 90}",1e-05,5e-05
19,0.6524344256946019,0.7315637214978007,0.5912776658966492,1.0,0.1875,16,3,709.0,44.3125,0.0,184.0,44.3125,0.0,184.0,655.0,0.6414262993718957,0.9076478438755168,0.7315637212039398,0.6797053389549481,0.9251278281782953,0.7836507082562995,0.0,1.0,0.8021604938271606,0.8677248677248677,0.7161669784776102,0.5,0,0.5565637214978008,157,63,147,10,43,10,5,2,"{""camera"": 120, ""phone"": 90}",1e-05,5e-05
20,0.6515789253371103,0.6857835752366861,0.5369358102382703,1.0,0.25,16,4,1209.0,75.5625,0.0,377.25,71.9375,0.0,333.75,729.0,0.5562496639306256,0.947062123638142,0.6857835749871574,0.6299211918011821,0.9400545486198425,0.7543559640812441,0.0,1.0,0.6638007054673722,0.7634185773074661,0.624183298311025,0.5,0,0.3857835752366861,157,63,147,10,43,10,5,2,"{""camera"": 120, ""phone"": 90}",1e-05,5e-05
21,0.6519223677145468,0.6656273582935005,0.5164450112929475,1.0,0.25,16,4,980.0,61.25,0.0,388.25,50.625,0.0,260.75,515.0,0.5319130033909366,0.9546825399843665,0.6656273580453232,0.6339543449771202,0.938842357067786,0.7568469475270941,0.0,1.0,0.7290123456790124,0.8100088183421517,0.5939456521091181,0.5,0,0.3656273582935005,157,63,135,22,43,22,11,2,"{""camera"": 120, ""phone"": 102}",1e-05,5e-05
22,0.6512989901207589,0.6862282531144778,0.5374279767394661,1.0,0.25,16,4,843.0,52.6875,0.0,249.25,49.6875,0.0,235.0,544.0,0.557035958227573,0.9478535104995934,0.6862282528678139,0.6353471564549846,0.938668265727863,0.7577819188806529,0.0,1.0,0.7354938271604938,0.8149470899470899,0.6280433608795762,0.5,0,0.3862282531144778,157,63,135,22,43,22,11,2,"{""camera"": 120, ""phone"": 102}",1e-05,5e-05
23,0.6508967763668781,0.6824317483996212,0.5329496390181213,1.0,0.3125,16,5,1141.0,71.3125,0.0,378.0,68.9375,0.0,378.0,705.0,0.5521360815185266,0.9477661492490924,0.6824317481521048,0.6234443603654444,0.9402737747515975,0.7497622095743423,0.0,1.0,0.6990740740740741,0.7873015873015873,0.6186723417232765,0.5,0,0.2574317483996212,157,63,135,22,43,22,11,2,"{""camera"": 122, ""phone"": 100}",1e-05,5e-05
24,0.6502011208920866,0.6855555383414673,0.5377082186000793,1.0,0.25,16,4,955.0,59.6875,0.0,326.5,58.625,0.0,326.5,640.0,0.5558010515815812,0.949721293832843,0.685555538097443,0.6431282916738646,0.9361729565222998,0.7624629119075752,0.0,1.0,0.7126543209876545,0.7967813051146385,0.6284250569969906,0.5,0,0.38555553834146733,157,63,135,22,43,22,11,2,"{""camera"": 122, ""phone"": 100}",5e-06,2.5e-05
25,0.6500630539816779,0.6733750628933786,0.5240455807769251,1.0,0.25,16,4,965.0,60.3125,0.0,311.25,58.875,0.0,311.25,657.0,0.5394032136887312,0.9539079070102785,0.6733750626475912,0.6311703631742838,0.9383781134946579,0.7547093492087775,0.0,1.0,0.7308641975308644,0.8117283950617283,0.6057735871700433,0.5,0,0.3733750628933786,157,63,135,22,43,22,11,2,"{""camera"": 122, ""phone"": 100}",5e-06,2.5e-05
26,0.6496206521987915,0.6876032763315264,0.5398266058587369,1.0,0.1875,16,3,761.0,47.5625,0.0,248.25,47.5625,0.0,248.25,558.0,0.5588134727050784,0.9483715744210708,0.6876032760859249,0.6473863671911659,0.93406451696101,0.7647415932006546,0.0,1.0,0.7425925925925926,0.8190917107583773,0.6366614770827915,0.5,0,0.5126032763315265,157,63,135,22,43,22,11,2,"{""camera"": 122, ""phone"": 100}",5e-06,2.5e-05
27,0.6499401884419578,0.6827707841209593,0.5332110881962737,1.0,0.1875,16,3,1029.0,64.3125,0.0,347.25,64.3125,0.0,347.25,840.0,0.551101192984898,0.9500991393607058,0.6827707838739353,0.6295301258506492,0.9382491569465669,0.7534939596828898,0.0,1.0,0.7299382716049382,0.8123015873015873,0.6222141190993048,0.5,0,0.5077707841209593,157,63,133,24,43,24,12,2,"{""camera"": 124, ""phone"": 100}",5e-06,2.5e-05
28,0.6496055126190186,0.6958795643077019,0.5484840497985269,1.0,0.25,16,4,969.0,60.5625,0.0,306.0,60.5625,0.0,306.0,807.0,0.5689957437869453,0.9457893816721634,0.6958795640610447,0.6469922113588437,0.9357151607765763,0.7650187668690959,0.0,1.0,0.7209876543209878,0.810273368606702,0.6487554268565904,0.5,0,0.39587956430770194,157,63,133,24,43,24,12,2,"{""camera"": 124, ""phone"": 100}",5e-06,2.5e-05
29,0.6496140888306947,0.689945660130424,0.5422758535122569,1.0,0.25,16,4,904.0,56.5,0.0,266.5,55.8125,0.0,266.5,775.0,0.5610465004848044,0.9483877339296524,0.6899456598834988,0.6446252741301086,0.9362696739333681,0.7635461115975065,0.0,1.0,0.7422839506172841,0.8198118753674309,0.6397610744145136,0.5,0,0.38994566013042403,157,63,131,26,43,26,13,2,"{""camera"": 124, ""phone"": 102}",2.5e-06,1.25e-05
30,0.6492586953450094,0.6753808082072015,0.5258597568694648,1.0,0.25,16,4,1072.0,67.0,0.0,302.25,64.125,0.0,302.25,792.0,0.5419468389531241,0.9526289095456221,0.6753808079583644,0.6269120119719793,0.939990070345797,0.7521734419581357,0.0,1.0,0.7246913580246915,0.8074074074074074,0.6128762119937052,0.5,0,0.3753808082072015,157,63,131,26,43,26,13,2,"{""camera"": 124, ""phone"": 102}",2.5e-06,1.25e-05
31,0.649052478043379,0.6700543476866125,0.5200700555093176,1.0,0.25,16,4,1202.0,75.125,0.0,350.25,69.9375,0.0,350.25,780.0,0.5355125228579122,0.9538871343591411,0.6700543474375715,0.6234621730915557,0.9404091791270931,0.749818135081293,0.0,1.0,0.7061728395061729,0.7950617283950618,0.6024806660126866,0.5,0,0.37005434768661255,157,63,131,26,43,26,13,2,"{""camera"": 124, ""phone"": 102}",2.5e-06,1.25e-05
32,0.6488682316467825,0.6786329595372881,0.529973679842435,1.0,0.25,16,4,1037.0,64.8125,0.0,307.0,61.0,0.0,307.0,700.0,0.5473907565990649,0.9502679514024585,0.6786329592874579,0.6364874391883312,0.9372175045618379,0.7581181870338497,0.0,1.0,0.7305555555555556,0.810405643738977,0.6193283312761432,0.5,0,0.3786329595372881,157,63,131,26,43,26,13,2,"{""camera"": 124, ""phone"": 102}",2.5e-06,1.25e-05
33,0.6486952621324927,0.6951176460727302,0.5488146604512388,1.0,0.25,16,4,737.0,46.0625,0.0,198.5,45.75,0.0,198.5,611.0,0.5691574476705911,0.9460035548607026,0.6951176458278256,0.6562950733419813,0.93297483412964,0.7705510364384328,0.0,1.0,0.7530864197530863,0.8316137566137565,0.6525484434506149,0.5,0,0.3951176460727302,157,63,131,26,43,26,13,2,"{""camera"": 124, ""phone"": 102}",2.5e-06,1.25e-05
34,0.6486637291655076,0.6981338369567759,0.552243779117073,1.0,0.25,16,4,692.0,43.25,0.0,188.75,43.25,0.0,188.75,593.0,0.5729310375039339,0.9454674511788697,0.6981338367129951,0.6577521388502486,0.9329425949926172,0.7715433693533723,0.0,1.0,0.7623456790123456,0.8377865961199293,0.6591546942646964,0.5,0,0.3981338369567759,157,63,131,26,43,26,13,2,"{""camera"": 124, ""phone"": 102}",1.25e-06,6.25e-06
