experiment,comparison,delta_defect_dice,delta_defect_iou,delta_defect_image_recall,delta_normal_fp_count,delta_normal_fpr,delta_pixel_f1_defect_macro,delta_pixel_auprc_all_labeled,delta_component_recall_3px,delta_boundary_f1_3px
01_tbn_d1,vs_baseline,0.0030672167694542063,0.004779000121056698,0.0,0.0,0.0,0.003067216753248392,-0.001542387583338023,0.0,0.009742693368662958
02_tbn_d1_hnproto,vs_baseline,0.003900518384406304,0.006864874114178243,-0.009478672985781977,0.0,0.0,0.0039005183760264517,0.002296061130529936,-0.009873617693522796,0.004710462489229794
02_tbn_d1_hnproto,vs_01_tbn_d1,0.0008333016149520978,0.0020858739931215453,-0.009478672985781977,0.0,0.0,0.0008333016227780599,0.003838448713867959,-0.009873617693522796,-0.005032230879433164
03_skipgate_d4d3,vs_baseline,-0.010864456181721382,-0.005460976702702736,-0.018957345971563955,1.0,0.01694915254237288,-0.010864456306786008,-0.0020939808646884828,-0.019747235387045814,-0.0217168729093008
