source,experiment,label,path,available,defect_dice,defect_iou,defect_image_recall,normal_fp_count,normal_fpr,normal_fp_pixel_sum,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area
oof,00_baseline_resnet34_unet_pw12,Baseline ResNet34-U-Net pw12,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/experiments/attention_20260511/00_baseline_resnet34_unet_pw12/results/stage2/oof_global_postprocess.json,True,0.7531157022186952,0.6295599576598744,0.990521327014218,1,0.01694915254237288,28.0,28.0,0.7467496089043908,0.825662511027973,0.7531157018086866,0.87237801721874,0.9707740916271721,0.8498307379823966,0.879124351162266,0.7518043240682936,0.78,16
oof,01_tbn_d1,Transformer bottleneck d1,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/experiments/attention_20260511/01_tbn_d1/results/stage2/oof_global_postprocess.json,True,0.7561829189881494,0.6343389577809311,0.990521327014218,1,0.01694915254237288,54.0,54.0,0.7611846690773886,0.8153410299447006,0.756182918561935,0.870835629635402,0.9707740916271721,0.8546039268788084,0.8816482359136387,0.7615470174369565,0.8,16
oof,02_tbn_d1_hnproto,TBN d1 + hard-negative prototype attention,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/experiments/attention_20260511/02_tbn_d1_hnproto/results/stage2/oof_global_postprocess.json,True,0.7570162206031015,0.6364248317740526,0.981042654028436,1,0.01694915254237288,104.0,104.0,0.7599357787557873,0.8244060747727121,0.757016220184713,0.8746740783492699,0.9609004739336493,0.8826224328593997,0.8908899420747761,0.7565147865575234,0.8,32
oof,03_skipgate_d4d3,Decoder skip attention gate d4+d3,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/experiments/attention_20260511/03_skipgate_d4d3/results/stage2/oof_global_postprocess.json,True,0.7422512460369738,0.6240989809571716,0.9715639810426541,2,0.03389830508474576,234.0,202.0,0.767553707525069,0.7944009991291952,0.7422512455019006,0.8702840363540515,0.9510268562401263,0.847291807718348,0.8573302622786872,0.7300874511589928,0.86,8
