fold,epochs_ran,best_epoch,defect_dice,defect_iou,defect_image_recall,normal_fpr,threshold,min_area,stage2_score,raw_defect_dice,raw_normal_fpr
fold0,16,4,0.5702981634077063,0.45274766594038585,0.8095238095238095,0.09733487833140209,0.54,48,0.5702981634077063,0.5787542330588842,0.1552723059096176
fold1,13,1,0.5488507572605834,0.41725889675042993,0.95,0.06585365853658537,0.82,32,0.5488507572605834,0.5043863567594901,0.13170731707317074
fold2,13,1,0.6839309600290431,0.529533051612453,1.0,0.04411764705882353,0.88,48,0.6839309600290431,0.5279264097496461,0.1568627450980392
fold3,33,21,0.572971272576669,0.43102016330715276,0.95,0.09963985594237695,0.42,32,0.572971272576669,0.5516321990256495,0.09723889555822329
