fold,epochs_ran,best_epoch,best_patch_dice_all,best_patch_dice_pos_only,best_positive_patch_recall,best_negative_patch_fpr,replay_total
fold0,32,20,0.7513272627344031,0.6136813644245763,0.9285714285714286,0.1016949152542373,71
fold1,44,32,0.7764268653380417,0.5351035315876251,0.8666666666666667,0.007462686567164179,53
fold2,52,40,0.7621857239011017,0.637972045846346,1.0,0.09,67
fold3,40,28,0.7355320711593051,0.579879727021546,0.9666666666666667,0.10344827586206896,63
