epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_fp_pixel_mean,normal_largest_fp_area_mean,threshold,min_area,stage2_score,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
1,0.6608151197433472,0.7164722750719945,0.5940091402063108,0.9444444444444444,0.125,29.5,29.5,0.9,48,0.6664722750719945,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.6549482417106628,0.7252195230683074,0.6072543856183709,0.9444444444444444,0.125,39.6875,35.375,0.88,32,0.6752195230683073,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6538781666755676,0.688402456027597,0.5451308751588755,1.0,0.25,93.625,92.4375,0.9,8,0.388402456027597,43,0,3,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
4,0.6507358169555664,0.7333487319302354,0.6141789242211418,0.9629629629629629,0.0625,2.8125,2.8125,0.74,24,0.7333487319302354,43,0,3,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
5,0.6488172054290772,0.738044208967655,0.6143464589798623,0.9814814814814815,0.0625,9.375,9.375,0.74,8,0.738044208967655,43,0,1,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
6,0.6460087990760803,0.7327187235625027,0.6147772927736719,0.9629629629629629,0.0,0.0,0.0,0.86,16,0.7327187235625027,43,0,1,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
7,0.6442248034477234,0.7628328701619497,0.6426865647613703,0.9814814814814815,0.0625,2.875,2.875,0.86,32,0.7628328701619497,43,0,1,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
8,0.6429333639144897,0.7591460114025361,0.6373506364552716,0.9814814814814815,0.0,0.0,0.0,0.82,24,0.7591460114025361,43,0,1,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
9,0.6406100225448609,0.7606305577366798,0.6400767707219066,1.0,0.0625,2.4375,2.4375,0.7,0,0.7606305577366798,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
10,0.63907968044281,0.7316203133366079,0.6105973943260026,0.9629629629629629,0.0625,2.25,2.25,0.82,24,0.7316203133366079,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
11,0.6376556396484375,0.773018888407603,0.6491447803582481,1.0,0.0625,13.5625,13.5625,0.8,8,0.773018888407603,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
12,0.6365862107276916,0.7332589414943997,0.5974435810282037,1.0,0.125,20.5,20.5,0.9,24,0.6832589414943997,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
13,0.6359685325622558,0.6999674976989497,0.5821114394442296,0.9259259259259259,0.0625,13.375,13.375,0.78,48,0.6999674976989497,43,0,3,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
14,0.6328122663497925,0.7169582262982032,0.6002165252374131,0.9259259259259259,0.0625,3.9375,3.9375,0.9,32,0.7169582262982032,43,0,3,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
15,0.6303350734710693,0.7452265047601072,0.6209325241320366,0.9814814814814815,0.0,0.0,0.0,0.86,8,0.7452265047601072,43,0,3,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
16,0.6293525838851929,0.7366162892433918,0.6113378834997195,0.9814814814814815,0.0625,4.125,4.125,0.84,8,0.7366162892433918,43,0,3,"{""camera"": 116, ""phone"": 84}",1e-05,5e-05
17,0.6280506825447083,0.7500527067501225,0.6256356771095808,0.9814814814814815,0.0,0.0,0.0,0.86,8,0.7500527067501225,43,0,4,"{""camera"": 116, ""phone"": 84}",1e-05,5e-05
18,0.6275174069404602,0.7378793933747636,0.6134236052866976,0.9814814814814815,0.0625,7.8125,7.8125,0.8,8,0.7378793933747636,43,0,4,"{""camera"": 116, ""phone"": 84}",1e-05,5e-05
19,0.6263600039482117,0.754830750914075,0.6305984046395359,0.9814814814814815,0.0625,2.0625,2.0625,0.84,24,0.754830750914075,43,0,6,"{""camera"": 116, ""phone"": 84}",1e-05,5e-05
20,0.6253005909919739,0.7551826067768805,0.6322143142307042,0.9814814814814815,0.0625,1.5625,1.5625,0.86,16,0.7551826067768805,43,0,6,"{""camera"": 116, ""phone"": 84}",5e-06,2.5e-05
21,0.6246731233596802,0.7585158029854419,0.6362077037009464,0.9814814814814815,0.0625,4.625,4.625,0.84,32,0.7585158029854419,43,0,1,"{""camera"": 116, ""phone"": 84}",5e-06,2.5e-05
22,0.6239995002746582,0.7620587480717526,0.6417405336455481,0.9814814814814815,0.0625,2.0625,2.0625,0.86,32,0.7620587480717526,43,0,1,"{""camera"": 116, ""phone"": 84}",5e-06,2.5e-05
23,0.6243416571617126,0.7618822428240924,0.6408144397379041,0.9814814814814815,0.0,0.0,0.0,0.84,32,0.7618822428240924,43,0,0,"{""camera"": 116, ""phone"": 84}",5e-06,2.5e-05
